Unnamed: 0,MIA,CHI
First Downs,24,14
Rush-Yds-TDs,33-137-1,14-52-1
Cmp-Att-Yd-TD-INT,25-32-277-2-0,21-34-190-1-1
Sacked-Yards,4-21,3-18
Net Pass Yards,256,172
Total Yards,393,224
Fumbles-Lost,1-0,4-2
Turnovers,0,3
Penalties-Yards,7-84,2-15
Third Down Conv.,4-11,5-12
Fourth Down Conv.,1-1,2-3
Time of Possession,37:22,22:38
