Quarter,Time,Tm,Detail,BUF,KAN
1.0,1:29,Bills,Zay Jones 11 yard pass from Tyrod Taylor (Stephen Hauschka kick),7,0
2.0,12:01,Bills,Stephen Hauschka 34 yard field goal,10,0
,1:44,Chiefs,Harrison Butker 45 yard field goal,10,3
,0:04,Bills,Stephen Hauschka 56 yard field goal,13,3
3.0,9:19,Chiefs,Albert Wilson 19 yard pass from Alex Smith (Harrison Butker kick),13,10
,6:52,Bills,Stephen Hauschka 49 yard field goal,16,10
