Unnamed: 0,BUF,KAN
First Downs,17,14
Rush-Yds-TDs,37-104-0,19-55-0
Cmp-Att-Yd-TD-INT,19-29-183-1-0,23-36-199-1-1
Sacked-Yards,2-19,2-18
Net Pass Yards,164,181
Total Yards,268,236
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,6-50,6-50
Third Down Conv.,6-17,2-13
Fourth Down Conv.,0-0,0-1
Time of Possession,33:18,26:42
