Unnamed: 0,TAM,CAR
First Downs,14,11
Rush-Yds-TDs,29-113-0,29-131-0
Cmp-Att-Yd-TD-INT,20-32-137-0-0,11-18-94-0-0
Sacked-Yards,3-22,3-26
Net Pass Yards,115,68
Total Yards,228,199
Fumbles-Lost,1-0,2-2
Turnovers,0,2
Penalties-Yards,3-15,3-20
Third Down Conv.,6-16,2-12
Fourth Down Conv.,0-0,2-2
Time of Possession,31:24,28:36
