Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Panthers won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,CAR 35,0,0,"Matthew Wright kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,TAM 25,0,0,Baker Mayfield pass complete short left to Mike Evans for 7 yards (tackle by Donte Jackson),0.610,1.010
1,14:30,2,3,TAM 32,0,0,Baker Mayfield pass complete short left to Mike Evans for 9 yards (tackle by Donte Jackson),1.010,1.660
1,13:56,1,10,TAM 41,0,0,Baker Mayfield pass complete short middle to Deven Thompkins for 1 yard (tackle by Yetur Gross-Matos),1.660,1.260
1,13:23,2,9,TAM 42,0,0,Baker Mayfield pass incomplete short right intended for Trey Palmer (defended by Jaycee Horn),1.260,0.560
1,13:18,3,9,TAM 42,0,0,Baker Mayfield pass complete short left to Cade Otton for 10 yards (tackle by Donte Jackson),0.560,2.390
1,12:42,1,10,CAR 48,0,0,Rachaad White left guard for 1 yard (tackle by Derrick Brown),2.390,1.980
1,12:00,2,9,CAR 47,0,0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Deion Jones),1.980,1.290
1,11:54,3,9,CAR 47,0,0,Baker Mayfield pass incomplete deep right intended for Mike Evans,1.290,0.130
1,11:49,4,9,CAR 47,0,0,"Jake Camarda punts 36 yards, returned by Ihmir Smith-Marsette for 14 yards (tackle by J.J. Russell)",0.130,-0.610
1,11:40,1,10,CAR 25,0,0,Chuba Hubbard left end for no gain (tackle by Calijah Kancey),0.610,0.060
1,11:04,2,10,CAR 25,0,0,Chuba Hubbard left guard for 12 yards (tackle by Ryan Neal),0.060,1.400
1,10:27,1,10,CAR 37,0,0,Bryce Young pass incomplete short right intended for Stephen Sullivan,1.400,0.860
1,10:22,2,10,CAR 37,0,0,Raheem Blackshear left end for 6 yards (tackle by Lavonte David),0.860,0.960
1,9:39,3,4,CAR 43,0,0,Bryce Young sacked by YaYa Diaby for -8 yards,0.960,-1.040
1,8:56,4,12,CAR 35,0,0,"Johnny Hekker punts 43 yards, fair catch by Deven Thompkins at TB-22",-1.040,-0.410
1,8:50,1,10,TAM 22,0,0,Baker Mayfield pass complete short right to Rachaad White for 7 yards (tackle by Donte Jackson),0.410,0.810
1,8:04,2,3,TAM 29,0,0,Rachaad White left tackle for 5 yards (tackle by Vonn Bell and Donte Jackson),0.810,1.200
1,7:20,1,10,TAM 34,0,0,Rachaad White right guard for no gain (tackle by Nick Thurman),1.200,0.660
1,6:39,2,10,TAM 34,0,0,Baker Mayfield pass complete short left to Rachaad White for 5 yards (tackle by Jaycee Horn),0.660,0.630
1,5:58,3,5,TAM 39,0,0,Baker Mayfield pass incomplete deep right intended for Mike Evans (defended by Xavier Woods),0.630,-0.780
1,5:50,4,5,TAM 39,0,0,"Jake Camarda punts 61 yards, touchback.",-0.780,-0.280
1,5:41,1,10,CAR 20,0,0,Bryce Young pass complete short left to Chuba Hubbard for 8 yards (tackle by Jamel Dean),0.280,0.810
1,5:07,2,2,CAR 28,0,0,Chuba Hubbard up the middle for 6 yards (tackle by Ryan Neal),0.810,1.200
1,4:32,1,10,CAR 34,0,0,Chuba Hubbard left end for 6 yards (tackle by Logan Hall and Lavonte David),1.200,1.470
1,3:55,2,4,CAR 40,0,0,Chuba Hubbard left tackle for no gain (tackle by Vita Vea),1.470,0.760
1,3:17,3,4,CAR 40,0,0,Chuba Hubbard left tackle for -3 yards (tackle by Devin White),0.760,-0.910
1,2:40,4,7,CAR 37,0,0,Johnny Hekker punts 39 yards out of bounds,-0.910,-0.540
1,2:34,1,10,TAM 24,0,0,Chase Edmonds left tackle for 8 yards (tackle by Derrick Brown),0.540,1.080
1,1:57,2,2,TAM 32,0,0,Chris Godwin right end for 4 yards (tackle by Kamu Grugier-Hill),1.080,1.330
1,1:14,1,10,TAM 36,0,0,"Baker Mayfield pass incomplete short left intended for Chris Godwin. Penalty on Aaron Stinnie: Ineligible Downfield Pass, 5 yards (accepted) (no play)",1.330,1.000
1,1:14,1,15,TAM 31,0,0,Baker Mayfield pass incomplete deep right intended for Trey Palmer,1.000,0.120
1,1:08,2,15,TAM 31,0,0,"Baker Mayfield pass complete short middle to Trey Palmer for 4 yards. Trey Palmer fumbles (forced by Frankie Luvu), recovered by Robert Hainsey at TB-37 and returned for 2 yards (tackle by Xavier Woods)",0.120,0.230
1,0:25,3,9,TAM 37,0,0,Baker Mayfield sacked by Yetur Gross-Matos for -7 yards,0.230,-1.370
1,0:18,,,,,,Timeout #1 by Carolina Panthers,,
1,0:18,4,16,TAM 30,0,0,Jake Camarda punts 40 yards downed by David Moore,-1.370,-0.940
1,0:07,1,10,CAR 30,0,0,Chuba Hubbard right tackle for 3 yards (tackle by Lavonte David and Carlton Davis),0.940,0.800
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,7,CAR 33,0,0,"Bryce Young sacked by Shaquil Barrett for no gain. Penalty on Lavonte David: Defensive Holding, 5 yards (accepted) (no play)",0.800,1.470
2,14:34,1,10,CAR 38,0,0,Miles Sanders left end for 13 yards (tackle by Joe Tryon-Shoyinka and Jamel Dean),1.470,2.320
2,13:51,1,10,TAM 49,0,0,Bryce Young pass complete short middle to Tommy Tremble for 4 yards (tackle by Lavonte David),2.320,2.320
2,13:14,2,6,TAM 45,0,0,Miles Sanders left tackle for 2 yards (tackle by Logan Hall),2.320,1.880
2,12:32,3,4,TAM 43,0,0,"Bryce Young pass complete deep left to DJ Chark for no gain, touchdown Replay Assistant challenged the runner broke the plane ruling, and the original play was overturned. Bryce Young pass complete deep left to DJ Chark for 42 yards. DJ Chark fumbles (forced by Antoine Winfield), recovered by Jamel Dean in end zone (tackle by Antoine Winfield)",1.880,-0.280
2,12:18,1,10,TAM 20,0,0,Baker Mayfield pass complete short left to Trey Palmer for 6 yards (tackle by Frankie Luvu),0.280,0.540
2,11:42,2,4,TAM 26,0,0,Rachaad White up the middle for 1 yard (tackle by DeShawn Williams),0.540,-0.030
2,11:03,3,3,TAM 27,0,0,Baker Mayfield pass incomplete deep right intended for Mike Evans,-0.030,-1.570
2,10:58,4,3,TAM 27,0,0,"Jake Camarda punts 60 yards, returned by Ihmir Smith-Marsette for 8 yards (tackle by David Moore and Josh Hayes)",-1.570,-0.340
2,10:48,1,10,CAR 21,0,0,Bryce Young pass incomplete short left intended for Adam Thielen,0.340,-0.200
2,10:43,2,10,CAR 21,0,0,Chuba Hubbard left tackle for 1 yard (tackle by Lavonte David),-0.200,-0.760
2,10:04,3,9,CAR 22,0,0,Bryce Young pass complete short right to Tommy Tremble for 7 yards (tackle by Shaquil Barrett and Carlton Davis),-0.760,-1.440
2,9:22,4,2,CAR 29,0,0,"Johnny Hekker punts 42 yards, fair catch by Deven Thompkins at TB-29",-1.440,-0.870
2,9:13,1,10,TAM 29,0,0,Rachaad White left tackle for 4 yards (tackle by Shy Tuttle),0.870,0.870
2,8:30,2,6,TAM 33,0,0,Rachaad White left tackle for 13 yards (tackle by Xavier Woods),0.870,1.990
2,7:46,1,10,TAM 46,0,0,Rachaad White right tackle for 9 yards (tackle by LaBryan Ray and Kamu Grugier-Hill),1.990,2.670
2,7:07,2,1,CAR 45,0,0,Baker Mayfield pass complete short right to Cade Otton for 20 yards (tackle by Jaycee Horn),2.670,3.910
2,6:27,1,10,CAR 25,0,0,Baker Mayfield pass complete short right to Chase Edmonds for -3 yards (tackle by Xavier Woods),3.910,2.960
2,5:42,2,13,CAR 28,0,0,Rachaad White right guard for 4 yards (tackle by Derrick Brown),2.960,2.810
2,5:02,3,9,CAR 24,0,0,Baker Mayfield pass complete short left to Chris Godwin for 6 yards (tackle by Jaycee Horn),2.810,2.350
2,4:17,4,3,CAR 18,3,0,Chase McLaughlin 36 yard field goal good,2.350,3.000
2,4:13,,,TAM 35,3,0,"Chase McLaughlin kicks off 60 yards, returned by Raheem Blackshear for 18 yards (tackle by Zyon McCollum and Josh Hayes)",0.000,0.480
2,4:07,1,10,CAR 23,3,0,Chuba Hubbard right tackle for 2 yards (tackle by Logan Hall),0.480,0.200
2,3:24,2,8,CAR 25,3,0,Bryce Young pass incomplete short left intended for Ihmir Smith-Marsette,0.200,-0.490
2,3:18,3,8,CAR 25,3,0,Bryce Young pass complete short left to Ian Thomas for 5 yards (tackle by Zyon McCollum),-0.490,-1.370
2,2:21,4,3,CAR 30,3,0,"Johnny Hekker punts 44 yards, fair catch by Deven Thompkins at TB-26",-1.370,-0.670
2,2:13,1,10,TAM 26,3,0,Baker Mayfield pass incomplete short middle intended for Mike Evans (defended by Jaycee Horn) (defended by Derrick Brown),0.670,0.130
2,2:09,2,10,TAM 26,3,0,Baker Mayfield pass incomplete short left intended for Mike Evans,0.130,-0.560
2,2:05,3,10,TAM 26,3,0,Baker Mayfield pass incomplete short middle intended for Trey Palmer (defended by Deion Jones),-0.560,-1.630
2,2:01,4,10,TAM 26,3,0,"Jake Camarda punts 74 yards, touchback.",-1.630,-0.280
2,1:52,1,10,CAR 20,3,0,Bryce Young pass complete short left to Chuba Hubbard for 1 yard (tackle by YaYa Diaby),0.280,-0.130
2,1:31,2,9,CAR 21,3,0,Bryce Young pass incomplete short right intended for Stephen Sullivan,-0.130,-0.820
2,1:25,3,9,CAR 21,3,0,Bryce Young pass incomplete short right intended for DJ Chark,-0.820,-1.960
2,1:21,4,9,CAR 21,3,0,Johnny Hekker punts 35 yards downed by Jeremy Chinn,-1.960,-1.860
2,1:11,1,10,TAM 44,3,0,Baker Mayfield pass complete short middle to Chris Godwin for 7 yards (tackle by Frankie Luvu and Deion Jones),1.860,2.260
2,0:49,2,3,CAR 49,3,0,Baker Mayfield pass complete short right to Rachaad White for 2 yards (tackle by Deion Jones),2.260,1.820
2,0:40,3,1,CAR 47,3,0,Baker Mayfield scrambles up the middle for 2 yards (tackle by Derrick Brown and DeShawn Williams),1.820,2.590
2,0:30,,,,,,Timeout #1 by Tampa Bay Buccaneers,,
2,0:30,1,10,CAR 45,3,0,Baker Mayfield pass complete short right to David Moore for 8 yards (tackle by Deion Jones),2.590,3.120
2,0:25,2,2,CAR 37,3,0,Baker Mayfield pass complete short left to Rachaad White for 4 yards (tackle by Deion Jones),3.120,3.380
2,0:19,,,,,,Timeout #2 by Tampa Bay Buccaneers,,
2,0:19,1,10,CAR 33,3,0,Chase Edmonds right end for -6 yards (tackle by Troy Hill),3.380,2.030
2,0:16,,,,,,Timeout #3 by Tampa Bay Buccaneers,,
2,0:16,,,,,,Timeout #2 by Carolina Panthers,,
2,0:16,2,16,CAR 39,3,0,Baker Mayfield pass incomplete short right intended for Chris Godwin (defended by Jaycee Horn),2.030,1.350
2,0:12,,,,,,Timeout #3 by Carolina Panthers,,
2,0:12,3,16,CAR 39,3,0,Baker Mayfield pass incomplete short right,1.350,0.660
2,0:04,4,16,CAR 39,6,0,Chase McLaughlin 57 yard field goal good,0.660,3.000
Quarter,Time,Down,ToGo,Location,TAM,CAR,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,TAM 35,6,0,"Jake Camarda kicks off 61 yards, returned by Raheem Blackshear for 21 yards (tackle by Cam Gill). Penalty on Sam Franklin: Offensive Holding, 10 yards (accepted)",0.000,-0.220
