Quarter,Time,Tm,Detail,NOR,NYJ
1.0,6:37,Saints,Brett Maher 23 yard field goal,3,0
2.0,10:01,Jets,Eddy Pineiro 36 yard field goal,3,3
,3:42,Saints,Alvin Kamara 16 yard rush (Brett Maher kick),10,3
,0:00,Jets,Eddy Pineiro 46 yard field goal,10,6
3.0,0:58,Saints,Brett Maher 31 yard field goal,13,6
4.0,12:22,Saints,Brett Maher 37 yard field goal,16,6
,5:28,Saints,Taysom Hill 2 yard rush (Brett Maher kick),23,6
,3:29,Jets,Eddy Pineiro 36 yard field goal,23,9
,1:07,Saints,Taysom Hill 44 yard rush (Brett Maher kick),30,9
