Unnamed: 0,ARI,PIT
First Downs,18,18
Rush-Yds-TDs,38-150-2,31-130-0
Cmp-Att-Yd-TD-INT,13-23-145-1-0,18-27-187-1-0
Sacked-Yards,2-13,0-0
Net Pass Yards,132,187
Total Yards,282,317
Fumbles-Lost,2-0,2-1
Turnovers,0,1
Penalties-Yards,6-51,9-77
Third Down Conv.,10-17,4-11
Fourth Down Conv.,0-0,0-1
Time of Possession,29:17,30:43
