Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cardinals won the coin toss and deferred, Steelers to receive the opening kickoff.",,
1,15:00,,,ARI 35,0,0,"Matt Prater kicks off 70 yards, recovered by Godwin Igwebuike in end zone (tackle by Zeke Turner)",0.000,0.540
1,14:55,1,10,PIT 24,0,0,Kenny Pickett pass complete short middle to George Pickens for 13 yards (tackle by Jalen Thompson),0.540,1.400
1,14:16,1,10,PIT 37,0,0,Najee Harris up the middle for 9 yards (tackle by Divaad Wilson),1.400,2.070
1,13:35,2,1,PIT 46,0,0,Kenny Pickett pass complete deep left to George Pickens for 38 yards (tackle by Jalen Thompson),2.070,4.510
1,12:56,1,10,ARI 16,0,0,Najee Harris right tackle for 5 yards (tackle by Josh Woods),4.510,4.760
1,12:20,2,5,ARI 11,0,0,Kenny Pickett pass incomplete short right intended for George Pickens,4.760,3.940
1,12:14,3,5,ARI 11,0,0,Kenny Pickett pass incomplete short right intended for Pat Freiermuth (defended by Dennis Gardeck),3.940,2.750
1,12:04,4,5,ARI 11,0,3,Chris Boswell 29 yard field goal good,2.750,3.000
1,12:01,,,PIT 35,0,3,"Chris Boswell kicks off 60 yards, returned by Greg Dortch for 24 yards (tackle by James Pierre and Rodney Williams)",0.000,0.870
1,11:56,1,10,ARI 29,0,3,James Conner left guard for no gain (tackle by T.J. Watt and Larry Ogunjobi),0.870,0.330
1,11:22,2,10,ARI 29,0,3,Kyler Murray pass incomplete short middle intended for Marquise Brown (defended by Keeanu Benton),0.330,-0.360
1,11:19,3,10,ARI 29,0,3,Kyler Murray pass incomplete short right intended for Greg Dortch,-0.360,-1.440
1,11:14,4,10,ARI 29,0,3,"Blake Gillikin punts 42 yards out of bounds. Penalty on Miles Killebrew: Running Into the Kicker, 5 yards (declined)",-1.440,-0.870
1,11:07,1,10,PIT 29,0,3,Najee Harris right tackle for 7 yards (tackle by Budda Baker and Jonathan Ledbetter),0.870,1.270
1,10:32,2,3,PIT 36,0,3,Kenny Pickett scrambles for 1 yard (tackle by Kei'Trel Clark),1.270,0.700
1,9:58,3,2,PIT 37,0,3,"Kenny Pickett aborted snap, recovered by Kenny Pickett at PIT-31 and returned for -6 yards (tackle by Budda Baker)",0.700,-1.310
1,9:26,4,8,PIT 31,0,3,"Pressley Harvin punts 44 yards, returned by Greg Dortch for 10 yards (tackle by Miles Killebrew)",-1.310,-1.270
1,9:16,1,10,ARI 35,0,3,Kyler Murray pass complete short middle to Trey McBride for 13 yards (tackle by Damontae Kazee),1.270,2.130
1,8:38,1,10,ARI 48,0,3,James Conner left guard for -2 yards (tackle by Alex Highsmith),2.130,1.310
1,8:03,2,12,ARI 46,0,3,Kyler Murray pass incomplete short middle intended for Elijah Higgins (defended by Larry Ogunjobi),1.310,0.630
1,7:59,3,12,ARI 46,0,3,"Kyler Murray pass incomplete short left intended for Emari Demercado. Penalty on Elandon Roberts: Unnecessary Roughness / Defense, 15 yards (accepted) (no play)",0.630,2.980
1,7:53,1,10,PIT 39,0,3,"Penalty on Trey McBride: False Start, 5 yards (accepted) (no play)",2.980,2.650
1,7:53,1,15,PIT 44,0,3,James Conner up the middle for no gain (tackle by T.J. Watt and Keeanu Benton),2.650,1.770
1,7:10,2,15,PIT 44,0,3,Kyler Murray pass complete short middle to Rondale Moore for 6 yards (tackle by Elandon Roberts),1.770,1.880
1,6:30,3,9,PIT 38,0,3,Kyler Murray pass complete short middle to Trey McBride for 5 yards (tackle by Minkah Fitzpatrick),1.880,1.180
1,5:48,4,4,PIT 33,3,3,Matt Prater 51 yard field goal good,1.180,3.000
1,5:44,,,ARI 35,3,3,"Matt Prater kicks off 65 yards, touchback.",0.000,0.610
1,5:44,1,10,PIT 25,3,3,Jaylen Warren right guard for 7 yards (tackle by Phil Hoskins and Krys Barnes),0.610,1.010
1,5:10,2,3,PIT 32,3,3,Kenny Pickett pass complete short right to Diontae Johnson for 5 yards,1.010,1.400
1,4:41,1,10,PIT 37,3,3,Kenny Pickett pass complete short left to Jaylen Warren for -4 yards (tackle by Josh Woods),1.400,0.320
1,4:00,2,14,PIT 33,3,3,Jaylen Warren left guard for 9 yards (tackle by Garrett Williams and BJ Ojulari),0.320,0.830
1,3:27,3,5,PIT 42,3,3,Kenny Pickett pass complete short right to Diontae Johnson for no gain (tackle by Josh Woods and Owen Pappoe),0.830,-0.590
1,2:50,4,5,PIT 42,3,3,"Pressley Harvin punts 49 yards, returned by Greg Dortch for 7 yards (tackle by James Pierre and Mark Robinson)",-0.590,0.140
1,2:37,1,10,ARI 16,3,3,James Conner up the middle for 6 yards (tackle by Elandon Roberts and Mykal Walker),-0.140,0.280
1,2:01,2,4,ARI 22,3,3,Kyler Murray pass incomplete short right intended for Greg Dortch,0.280,-0.570
1,1:54,3,4,ARI 22,3,3,Kyler Murray sacked by Alex Highsmith for -7 yards,-0.570,-2.440
1,1:16,4,11,ARI 15,3,3,"Blake Gillikin punts 59 yards, returned by Calvin Austin for 11 yards (tackle by Geoff Swaim)",-2.440,-1.400
1,1:07,1,10,PIT 37,3,3,Najee Harris right tackle for 3 yards (tackle by Kei'Trel Clark),1.400,1.260
1,0:34,2,7,PIT 40,3,3,Najee Harris right tackle for 1 yard (tackle by Kevin Strong and Josh Woods),1.260,0.700
Quarter,Time,Down,ToGo,Location,ARI,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,6,PIT 41,3,3,Kenny Pickett pass incomplete short right intended for Jaylen Warren (defended by BJ Ojulari),0.700,-0.650
2,14:56,4,6,PIT 41,3,3,"Pressley Harvin punts 40 yards, fair catch by Greg Dortch at ARI-19. Penalty on Miles Killebrew: Fair Catch Interference, 15 yards (accepted)",-0.650,-1.200
2,14:48,1,10,ARI 34,3,3,"Kyler Murray scrambles right end for 9 yards (tackle by Mark Robinson). Penalty on Damontae Kazee: Defensive Holding, 5 yards (accepted)",1.200,2.130
