Unnamed: 0,JAX,KAN
First Downs,24,23
Rush-Yds-TDs,22-113-3,40-170-3
Cmp-Att-Yd-TD-INT,23-40-306-1-1,16-25-235-1-2
Sacked-Yards,3-22,3-10
Net Pass Yards,284,225
Total Yards,397,395
Fumbles-Lost,0-0,2-1
Turnovers,1,3
Penalties-Yards,5-35,5-32
Third Down Conv.,6-14,7-16
Fourth Down Conv.,0-0,1-1
Time of Possession,29:22,30:38
