Quarter,Time,Tm,Detail,JAX,KAN
1.0,9:10,Chiefs,Bernard Pollard blocked punt recovery in end zone (Lawrence Tynes kick),0,7
2.0,14:06,Jaguars,Fred Taylor 26 yard pass from David Garrard (Josh Scobee kick),7,7
,9:59,Jaguars,Josh Scobee 33 yard field goal,10,7
,7:09,Chiefs,Larry Johnson 1 yard rush (Lawrence Tynes kick),10,14
,1:52,Chiefs,Eddie Kennison 35 yard pass from Trent Green (Lawrence Tynes kick),10,21
3.0,12:08,Chiefs,Larry Johnson 2 yard rush (Lawrence Tynes kick),10,28
,9:31,Jaguars,Quinn Gray 9 yard rush (Josh Scobee kick),17,28
,7:04,Chiefs,Larry Johnson 12 yard rush (Lawrence Tynes kick),17,35
,3:00,Jaguars,Quinn Gray 17 yard rush (Josh Scobee kick),24,35
4.0,5:00,Jaguars,Maurice Jones-Drew 5 yard rush,30,35
