Quarter,Time,Down,ToGo,Location,JAX,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Jaguars won the coin toss, Jaguars to receive the opening kickoff.",,
1,15:00,,,KAN 30,0,0,"Lawrence Tynes kicks off 71 yards, returned by Maurice Jones-Drew for 29 yards (tackle by Dee Brown)",0.000,0.810
1,14:54,1,10,JAX 28,0,0,Fred Taylor middle for no gain (tackle by Derrick Johnson),0.810,0.260
1,14:16,2,10,JAX 28,0,0,Fred Taylor middle for 8 yards (tackle by Sammy Knight),0.260,0.630
1,13:35,3,2,JAX 36,0,0,Maurice Jones-Drew middle for -1 yards (tackle by Greg Wesley),0.630,-1.040
1,13:35,4,3,JAX 35,0,0,"Chris Hanson punts 41 yards, returned by Dante Hall for 2 yards (tackle by Scott Starks)",-1.040,-0.670
1,12:53,1,10,KAN 26,0,0,Larry Johnson middle for 12 yards (tackle by Gerald Sensabaugh),0.670,1.470
1,12:17,1,10,KAN 38,0,0,Trent Green pass complete to Eddie Kennison for 8 yards (tackle by Rashean Mathis),1.470,2.000
1,11:41,2,2,KAN 46,0,0,Trent Green pass complete to Larry Johnson for 6 yards (tackle by Clint Ingram),2.000,2.390
1,11:02,1,10,JAX 48,0,0,Larry Johnson left end for 2 yards (tackle by John Henderson),2.390,2.120
1,10:28,2,8,JAX 46,0,0,Trent Green pass incomplete intended for Samie Parker,2.120,1.420
1,10:23,3,8,JAX 46,0,0,Trent Green pass incomplete intended for Eddie Kennison is intercepted by Rashean Mathis at JAX-26,1.420,-0.670
1,10:17,1,10,JAX 26,0,0,David Garrard pass incomplete intended for Ernest Wilford,0.670,0.130
1,10:10,2,10,JAX 26,0,0,Maurice Jones-Drew left tackle for 7 yards (tackle by Sammy Knight),0.130,0.370
1,9:26,3,3,JAX 33,0,0,David Garrard pass incomplete (defended by Jared Allen),0.370,-1.180
