Quarter,Time,Tm,Detail,OAK,TAM
1,3:53,Buccaneers,Roberto Aguayo 41 yard field goal,0,3
2,14:54,Buccaneers,Russell Shepard 19 yard pass from Jameis Winston (Roberto Aguayo kick),0,10
,8:15,Raiders,Sebastian Janikowski 31 yard field goal,3,10
3,10:24,Raiders,Donald Penn 1 yard pass from Derek Carr (Sebastian Janikowski kick),10,10
,5:30,Raiders,Amari Cooper 34 yard pass from Derek Carr (Sebastian Janikowski kick),17,10
4,14:55,Buccaneers,Cameron Brate 5 yard pass from Jameis Winston (Roberto Aguayo kick failed),17,16
,3:48,Buccaneers,Jacquizz Rodgers 1 yard rush (Mike Evans pass from Jameis Winston),17,24
,1:38,Raiders,Mychal Rivera 7 yard pass from Derek Carr (Sebastian Janikowski kick),24,24
OT,1:45,Raiders,Seth Roberts 41 yard pass from Derek Carr,30,24
