Unnamed: 0,OAK,TAM
First Downs,27,18
Rush-Yds-TDs,24-128-0,27-102-1
Cmp-Att-Yd-TD-INT,40-59-513-4-0,16-32-180-2-0
Sacked-Yards,2-15,2-12
Net Pass Yards,498,168
Total Yards,626,270
Fumbles-Lost,1-1,2-0
Turnovers,1,0
Penalties-Yards,23-200,6-64
Third Down Conv.,7-18,4-13
Fourth Down Conv.,1-1,0-0
Time of Possession,44:12,29:03
