Quarter,Time,Down,ToGo,Location,OAK,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.610
1,15:00,1,10,TAM 25,0,0,Jacquizz Rodgers right guard for -1 yards (tackle by Karl Joseph),0.610,-0.070
1,14:23,2,11,TAM 24,0,0,Jameis Winston pass incomplete deep middle intended for Cecil Shorts (defended by Sean Smith),-0.070,-0.760
1,14:19,3,11,TAM 24,0,0,Jameis Winston pass complete short right to Mike Evans for 13 yards (tackle by David Amerson),-0.760,1.400
1,13:57,1,10,TAM 37,0,0,"Jameis Winston pass complete short right to Cameron Brate for no gain. Cameron Brate fumbles (forced by Malcolm Smith), ball out of bounds at TAM-37",1.400,0.860
1,13:27,2,10,TAM 37,0,0,Antone Smith left end for 6 yards (tackle by D.J. Hayden),0.860,0.960
1,12:57,3,4,TAM 43,0,0,"Jameis Winston left end for 19 yards (tackle by D.J. Hayden). Penalty on Donovan Smith: Offensive Holding, 10 yards (no play)",0.960,-0.360
1,12:31,3,14,TAM 33,0,0,Jameis Winston right end for 1 yard (tackle by Bruce Irvin and Khalil Mack),-0.360,-1.110
1,11:53,4,13,TAM 34,0,0,"Bryan Anger punts 50 yards, out of bounds",-1.110,0.140
1,11:43,1,10,OAK 16,0,0,Derek Carr pass complete short left to Amari Cooper for 8 yards (tackle by Daryl Smith),-0.140,0.550
1,11:11,2,2,OAK 24,0,0,"Derek Carr pass complete short left to Michael Crabtree for 1 yard (tackle by Chris Conte). Penalty on Michael Crabtree: Taunting, 12 yards",0.550,-1.750
1,10:43,3,13,OAK 13,0,0,Derek Carr pass incomplete short middle intended for Seth Roberts,-1.750,-2.490
1,10:38,4,13,OAK 13,0,0,"Marquette King punts 67 yards, returned by Adam Humphries for 19 yards (tackle by Jon Condo). Penalty on Adarius Glanton: Offensive Holding, 10 yards",-2.490,0.380
1,10:24,1,10,TAM 10,0,0,Jacquizz Rodgers left guard for 1 yard (tackle by T.J. Carrie),-0.380,-0.710
1,10:02,2,9,TAM 11,0,0,Jacquizz Rodgers right tackle for 6 yards (tackle by Denico Autry),-0.710,-0.600
1,9:23,3,3,TAM 17,0,0,Jameis Winston pass complete deep right to Mike Evans for 18 yards (tackle by David Amerson),-0.600,1.270
1,8:46,1,10,TAM 35,0,0,"Jameis Winston pass incomplete short left intended for Adam Humphries. Penalty on David Amerson: Defensive Holding, 5 yards (no play)",1.270,1.600
1,8:40,1,10,TAM 40,0,0,Jacquizz Rodgers left guard for 9 yards (tackle by Karl Joseph),1.600,2.270
1,8:03,2,1,TAM 49,0,0,Jacquizz Rodgers right tackle for 12 yards (tackle by Karl Joseph),2.270,2.980
1,7:36,1,10,OAK 39,0,0,Jacquizz Rodgers left end for 2 yards (tackle by D.J. Hayden and Perry Riley),2.980,2.710
1,7:03,2,8,OAK 37,0,0,"Jameis Winston pass complete short right to Adam Humphries for 7 yards (tackle by Perry Riley). Penalty on TAM: Illegal Shift, 5 yards (no play)",2.710,2.040
1,6:40,2,13,OAK 42,0,0,Jameis Winston pass complete short left to Antone Smith for 9 yards (tackle by Reggie Nelson),2.040,2.540
1,6:03,3,4,OAK 33,0,0,Jameis Winston pass complete short left to Adam Humphries for 17 yards,2.540,4.510
,,,,,,,"OAK challenged the runner was out of bounds ruling, and the play was upheld.",,
1,5:51,1,10,OAK 16,0,0,Jacquizz Rodgers left guard for 2 yards (tackle by Malcolm Smith and Bruce Irvin),4.510,4.210
1,5:19,2,8,OAK 14,0,0,Jameis Winston sacked by Khalil Mack for -7 yards,4.210,2.610
1,4:44,3,15,OAK 21,0,0,Jameis Winston pass complete short right to Luke Stocker for -2 yards (tackle by Malcolm Smith),2.610,1.930
1,3:59,4,17,OAK 23,0,3,Roberto Aguayo 41 yard field goal good,1.930,3.000
1,3:59,,,TAM 35,0,3,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
1,3:53,1,10,OAK 25,0,3,DeAndre Washington middle for 2 yards (tackle by Daryl Smith),0.610,0.330
1,3:18,2,8,OAK 27,0,3,"Jalen Richard left tackle for 14 yards (tackle by Bradley McDougald). Penalty on Gabe Jackson: Offensive Holding, 10 yards (no play)",0.330,-1.150
1,2:50,2,18,OAK 17,0,3,Derek Carr pass complete deep right to Mychal Rivera for 27 yards (tackle by Bradley McDougald),-1.150,1.860
1,2:08,1,10,OAK 44,0,3,Latavius Murray middle for 1 yard (tackle by Lavonte David),1.860,1.450
1,1:29,2,9,OAK 45,0,3,Derek Carr pass incomplete short left intended for Latavius Murray,1.450,0.760
1,1:23,3,9,OAK 45,0,3,"Derek Carr sacked by Noah Spence for -9 yards. Derek Carr fumbles (forced by Noah Spence), recovered by Howard Jones at OAK-34 (tackle by Austin Howard)",0.760,-3.310
1,1:15,1,10,OAK 34,0,3,Jacquizz Rodgers left tackle for -2 yards (tackle by Bruce Irvin),3.310,2.500
1,0:40,2,12,OAK 36,0,3,Jameis Winston pass complete deep left to Cameron Brate for 17 yards (tackle by Karl Joseph),2.500,4.310
Quarter,Time,Down,ToGo,Location,OAK,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 19,0,9,"Jameis Winston pass complete deep right to Russell Shepard for 19 yards, touchdown",4.310,7.000
2,15:00,,,OAK 19,0,10,Roberto Aguayo kicks extra point good,0.000,0.000
2,15:00,,,TAM 35,0,10,"Roberto Aguayo kicks off 65 yards, touchback",0.000,-0.610
2,14:54,1,10,OAK 25,0,10,Latavius Murray left tackle for 4 yards (tackle by Gerald McCoy),0.610,0.600
2,14:15,2,6,OAK 29,0,10,Latavius Murray left guard for no gain (tackle by Noah Spence),0.600,-0.100
2,13:33,3,6,OAK 29,0,10,Jalen Richard right guard for 20 yards (tackle by Bradley McDougald),-0.100,2.190
2,12:50,1,10,OAK 49,0,10,Derek Carr pass incomplete short left intended for Michael Crabtree (defended by Vernon Hargreaves),2.190,1.650
2,12:44,2,10,OAK 49,0,10,Derek Carr pass complete short right to Amari Cooper for 3 yards (tackle by Jude Adjei-Barimah),1.650,1.360
2,12:00,3,7,TAM 48,0,10,"Derek Carr pass incomplete. Penalty on Derek Carr: Intentional Grounding, 14 yards",1.360,-0.850
2,11:56,4,21,OAK 38,0,10,"Marquette King punts 43 yards, fair catch by Adam Humphries",-0.850,-0.150
2,11:48,1,10,TAM 19,0,10,Jameis Winston pass incomplete deep left intended for Mike Evans,0.150,-0.390
2,11:43,2,10,TAM 19,0,10,Jacquizz Rodgers middle for 7 yards (tackle by T.J. Carrie),-0.390,-0.160
2,11:02,3,3,TAM 26,0,10,"Jameis Winston pass complete short left to Adam Humphries for 6 yards (tackle by Reggie Nelson). Penalty on Kevin Pamphile: Ineligible Downfield Pass, 5 yards (no play)",-0.160,-0.810
2,10:40,3,8,TAM 21,0,10,Jameis Winston pass incomplete short middle intended for Mike Evans,-0.810,-1.960
2,10:35,4,8,TAM 21,0,10,"Bryan Anger punts 49 yards, returned by Jalen Richard for 9 yards (tackle by Cameron Lynch). Penalty on D.J. Hayden: Offensive Holding, 10 yards",-1.960,-0.870
2,10:21,1,10,OAK 29,0,10,Derek Carr pass complete deep right to Jamize Olawale for 68 yards (tackle by Bradley McDougald),0.870,6.510
2,10:21,1,3,TAM 3,0,10,--,6.510,5.370
2,9:56,1,8,TAM 8,0,10,Derek Carr pass complete short right to Latavius Murray for -1 yards (tackle by Lavonte David and William Gholston),5.370,4.380
2,9:13,2,9,TAM 9,0,10,"Derek Carr pass complete short right to Michael Crabtree for 9 yards. Penalty on Michael Crabtree: Offensive Pass Interference, 10 yards (no play)",4.380,3.070
2,9:07,2,19,TAM 19,0,10,Derek Carr pass complete short right to Jalen Richard for 6 yards (tackle by Lavonte David),3.070,3.060
2,8:26,3,13,TAM 13,0,10,Derek Carr pass incomplete short left intended for Michael Crabtree (defended by Vernon Hargreaves),3.060,2.570
2,8:19,4,13,TAM 13,3,10,Sebastian Janikowski 31 yard field goal good,2.570,3.000
2,8:19,,,OAK 35,3,10,"Sebastian Janikowski kicks off 64 yards, muffed catch by Ryan Smith, recovered by Ryan Smith at TB-3, and returned for 12 yards",0.000,0.220
2,8:08,1,10,TAM 15,3,10,Peyton Barber left guard for 1 yard (tackle by Khalil Mack),-0.220,-0.580
2,7:33,2,9,TAM 16,3,10,Jameis Winston pass incomplete short right intended for Cecil Shorts,-0.580,-1.250
2,7:28,3,9,TAM 16,3,10,"Jameis Winston pass complete short middle to Mike Evans for 14 yards (tackle by David Amerson). Penalty on David Amerson: Defensive Holding (Declined), Penalty on Malcolm Smith: Defensive Offside (Declined)",-1.250,0.940
