Quarter,Time,Tm,Detail,TEN,MIA
2.0,1:49,Titans,Erron Kinney 1 yard pass from Steve McNair (Aaron Elling kick),7,0
3.0,2:26,Titans,Lamont Thompson 37 yard interception return (Aaron Elling kick),14,0
4.0,6:48,Titans,Aaron Elling 22 yard field goal,17,0
,3:22,Dolphins,Randy McMichael 15 yard pass from A.J. Feeley (Olindo Mare kick),17,7
