Unnamed: 0,TEN,MIA
First Downs,15,14
Rush-Yds-TDs,36-182-0,20-65-0
Cmp-Att-Yd-TD-INT,9-14-73-1-0,26-44-210-1-3
Sacked-Yards,2-12,3-12
Net Pass Yards,61,198
Total Yards,243,263
Fumbles-Lost,4-1,2-0
Turnovers,1,3
Penalties-Yards,7-55,13-71
Third Down Conv.,4-12,6-17
Fourth Down Conv.,0-0,1-1
Time of Possession,30:29,29:31
