Unnamed: 0,STL,NYG
First Downs,18,15
Rush-Yds-TDs,13-40-0,27-149-1
Cmp-Att-Yd-TD-INT,35-55-353-1-1,14-26-202-0-0
Sacked-Yards,6-38,2-15
Net Pass Yards,315,187
Total Yards,355,336
Fumbles-Lost,6-3,5-3
Turnovers,4,3
Penalties-Yards,5-35,7-59
Third Down Conv.,5-16,5-13
Fourth Down Conv.,1-4,0-0
Time of Possession,33:14,26:46
