Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
1,5:40,4,6,DEN 39,0,0,Kyle Orton pass incomplete short right intended for Scott Chandler (defended by Brandon Marshall),0.660,-1.530
1,5:35,1,10,DEN 39,0,0,Peyton Manning pass complete deep left to Wes Welker for 38 yards (tackle by Da'Norris Searcy),1.530,4.040
1,4:55,1,10,BUF 23,0,0,"Penalty on Peyton Manning: False Start, 5 yards (no play)",4.040,3.710
1,4:40,1,15,BUF 28,0,0,C.J. Anderson up the middle for 6 yards (tackle by Jerry Hughes),3.710,3.630
1,4:03,2,9,BUF 22,0,0,C.J. Anderson left tackle for 3 yards (tackle by Nickell Robey),3.630,3.340
1,3:22,3,6,BUF 19,0,0,"Peyton Manning pass incomplete deep middle intended for Wes Welker (defended by Nickell Robey). Penalty on Nickell Robey: Illegal Contact, 5 yards (no play)",3.340,4.650
1,3:17,1,10,BUF 14,0,0,C.J. Anderson up the middle for 8 yards (tackle by Aaron Williams),4.650,5.470
1,2:48,2,2,BUF 6,0,6,"C.J. Anderson right guard for 6 yards, touchdown",5.470,7.000
1,2:48,,,BUF 2,0,7,Connor Barth kicks extra point good,0.000,0.000
1,2:48,,,DEN 35,0,7,"Brandon McManus kicks off 73 yards, returned by Marcus Thigpen for 27 yards (tackle by Corey Nelson)",0.000,-0.150
1,2:37,1,10,BUF 19,0,7,Anthony Dixon right guard for 11 yards (tackle by Brandon Marshall),0.150,0.940
1,1:53,1,10,BUF 30,0,7,Kyle Orton pass complete short left to Chris Hogan for 3 yards (tackle by Von Miller),0.940,0.800
1,1:17,2,7,BUF 33,0,7,Marquise Goodwin left end for 12 yards (tackle by Bradley Roby),0.800,1.930
1,0:49,1,10,BUF 45,0,7,Kyle Orton pass incomplete short left intended for MarQueis Gray,1.930,1.380
1,0:44,2,10,BUF 45,0,7,Kyle Orton pass complete short left to Bryce Brown for 9 yards (tackle by T.J. Ward),1.380,1.880
Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,1,DEN 46,0,7,Fred Jackson up the middle for 2 yards (tackle by Sylvester Williams),1.880,2.650
2,14:16,1,10,DEN 44,0,7,Bryce Brown up the middle for -2 yards (tackle by Malik Jackson),2.650,1.840
2,13:37,2,12,DEN 46,0,7,Kyle Orton pass complete short left to Chris Hogan for 12 yards (tackle by Bradley Roby),1.840,3.310
2,13:11,1,10,DEN 34,0,7,Kyle Orton pass incomplete short right intended for Bryce Brown,3.310,2.770
2,13:07,2,10,DEN 34,0,7,Fred Jackson left end for 9 yards (tackle by Chris Harris),2.770,3.270
2,12:43,3,1,DEN 25,0,7,Kyle Orton sacked by Steven Johnson and Terrance Knighton for -1 yards,3.270,1.860
2,11:55,4,2,DEN 26,3,7,Dan Carpenter 44 yard field goal good,1.860,3.000
2,11:55,,,BUF 35,3,7,"Jordan Gay kicks off 54 yards, returned by Andre Caldwell for 26 yards (tackle by Jordan Gay)",0.000,-1.400
2,11:44,1,10,DEN 37,3,7,"Peyton Manning pass incomplete deep middle intended for Emmanuel Sanders is intercepted by Corey Graham at BUF-20 and returned for 60 yards. Penalty on Kyle Williams: Offensive Holding, 10 yards",1.400,-1.600
2,11:25,1,10,BUF 40,3,7,Kyle Orton pass complete short middle to Lee Smith for 6 yards (tackle by Steven Johnson),1.600,1.860
2,10:41,2,4,BUF 46,3,7,Fred Jackson right tackle for 1 yard (tackle by Malik Jackson),1.860,1.290
2,10:00,3,3,BUF 47,3,7,"Kyle Orton pass complete short middle to Fred Jackson for -1 yards (tackle by David Bruton). Fred Jackson fumbles (forced by David Bruton), recovered by Fred Jackson at BUF-46",1.290,-0.320
2,9:00,4,4,BUF 46,3,7,"Colton Schmidt punts 14 yards, out of bounds",-0.320,-1.600
2,8:53,1,10,DEN 40,3,7,C.J. Anderson left guard for 3 yards (tackle by Stephon Gilmore and Nigel Bradham),1.600,1.460
2,8:20,2,7,DEN 43,3,7,"Penalty on Mario Williams: Neutral Zone Infraction, 5 yards (no play)",1.460,2.130
2,8:00,2,2,DEN 48,3,7,C.J. Anderson up the middle for 3 yards (tackle by Kyle Williams),2.130,2.320
2,7:27,1,10,BUF 49,3,7,Emmanuel Sanders left end for 13 yards (tackle by Preston Brown),2.320,3.180
2,6:55,1,10,BUF 36,3,7,C.J. Anderson up the middle for 1 yard (tackle by Mario Williams),3.180,2.770
2,6:21,2,9,BUF 35,3,7,C.J. Anderson up the middle for 1 yard (tackle by Marcell Dareus),2.770,2.210
2,5:43,3,8,BUF 34,3,7,"Peyton Manning pass incomplete short left intended for Emmanuel Sanders. Penalty on Stephon Gilmore: Defensive Pass Interference (Declined), Penalty on Jerry Hughes: Unsportsmanlike Conduct, 15 yards (no play)",2.210,4.310
2,5:38,1,10,BUF 19,3,7,C.J. Anderson up the middle for 6 yards (tackle by Stefan Charles),4.310,4.720
2,5:03,2,4,BUF 13,3,7,Juwan Thompson up the middle for 4 yards (tackle by Preston Brown and Nigel Bradham),4.720,5.140
2,4:23,1,9,BUF 9,3,7,Peyton Manning pass complete short left to Wes Welker for 7 yards (tackle by Aaron Williams),5.140,5.720
2,3:56,2,2,BUF 2,3,7,Jeremy Stewart right tackle for 1 yard (tackle by Nigel Bradham),5.720,5.720
2,3:33,2,2,BUF 2,3,7,Timeout #1 by Buffalo Bills,5.720,5.170
2,3:33,3,1,BUF 1,3,13,"C.J. Anderson up the middle for 1 yard, touchdown",5.170,7.000
,,,,,,,"Replay Assistant challenged the runner broke the plane ruling, and the play was upheld.",,
2,3:33,,,BUF 2,3,14,Connor Barth kicks extra point good,0.000,0.000
2,3:33,,,DEN 35,3,14,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
2,3:26,1,10,BUF 20,3,14,Kyle Orton sacked by Malik Jackson for -6 yards,0.280,-1.180
2,2:41,2,16,BUF 14,3,14,Kyle Orton sacked by Von Miller for -5 yards,-1.180,-1.180
2,2:33,2,16,BUF 14,3,14,Timeout #1 by Denver Broncos,-1.180,-2.710
2,2:33,3,21,BUF 9,3,14,Kyle Orton pass complete short right to Scott Chandler for 11 yards (tackle by Chris Harris),-2.710,-2.030
2,2:00,4,10,BUF 20,3,14,"Colton Schmidt punts 48 yards, returned by Wes Welker for 7 yards (tackle by Larry Dean)",-2.030,-1.530
2,1:49,1,10,DEN 39,3,14,Peyton Manning pass complete deep left to Emmanuel Sanders for 37 yards (tackle by Duke Williams),1.530,3.970
2,1:17,1,10,BUF 24,3,14,Peyton Manning pass incomplete deep left intended for Emmanuel Sanders,3.970,3.430
2,1:14,2,10,BUF 24,3,14,Peyton Manning pass complete short right to Wes Welker for 4 yards (tackle by Nickell Robey and Nigel Bradham),3.430,3.270
2,0:39,3,6,BUF 20,3,14,"Peyton Manning pass complete short middle to Jacob Tamme for 10 yards (tackle by Duke Williams). Jacob Tamme fumbles (forced by Duke Williams), recovered by Corey Graham at BUF-10 (tackle by Manuel Ramirez)",3.270,0.380
2,0:32,1,10,BUF 10,3,14,Fred Jackson left tackle for no gain (tackle by Malik Jackson),-0.380,-0.780
Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,BUF 35,3,14,"Jordan Gay kicks off 65 yards, touchback",0.000,-0.280
3,15:00,1,10,DEN 20,3,14,Peyton Manning pass complete short right to Demaryius Thomas for 5 yards (tackle by Corey Graham),0.280,0.410
3,14:18,2,5,DEN 25,3,14,"C.J. Anderson up the middle for 1 yard (tackle by Preston Brown). Penalty on Manuel Ramirez: Offensive Holding, 10 yards (no play)",0.410,-1.070
3,13:53,2,15,DEN 15,3,14,Peyton Manning pass complete short right to Juwan Thompson for 14 yards (tackle by Corey Graham and Preston Brown),-1.070,0.230
3,13:12,3,1,DEN 29,3,14,Juwan Thompson left tackle for 47 yards (tackle by Stephon Gilmore and Duke Williams),0.230,3.970
3,12:23,1,10,BUF 24,3,14,Peyton Manning pass complete deep right to Wes Welker for 21 yards,3.970,6.510
3,12:04,1,3,BUF 3,3,20,"C.J. Anderson up the middle for 3 yards, touchdown",6.510,7.000
3,12:04,,,BUF 2,3,21,Connor Barth kicks extra point good,0.000,0.000
3,12:04,,,DEN 35,3,21,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,12:01,1,10,BUF 20,3,21,Anthony Dixon right tackle for 2 yards (tackle by Sylvester Williams),0.280,0.000
3,11:20,2,8,BUF 22,3,21,Kyle Orton pass complete deep middle to Robert Woods for 17 yards (tackle by Rahim Moore),0.000,1.530
3,10:42,1,10,BUF 39,3,21,"Fred Jackson left tackle for 23 yards (tackle by David Bruton). Penalty on Kraig Urbik: Offensive Holding, 10 yards (no play)",1.530,0.870
3,10:15,1,20,BUF 29,3,21,Kyle Orton pass incomplete short middle intended for Scott Chandler is intercepted by Brandon Marshall at BUF-33,0.870,-3.380
3,10:10,1,10,BUF 33,3,21,"Peyton Manning pass complete short left to Demaryius Thomas for 13 yards (tackle by Stephon Gilmore). Penalty on Wes Welker: Offensive Pass Interference, 10 yards (no play)",3.380,2.720
3,9:52,1,20,BUF 43,3,21,Peyton Manning pass incomplete short right intended for Demaryius Thomas,2.720,1.490
3,9:48,2,20,BUF 43,3,21,Peyton Manning pass complete short middle to Wes Welker for 8 yards (tackle by Preston Brown and Nigel Bradham),1.490,1.880
3,9:05,3,12,BUF 35,3,21,"Peyton Manning pass incomplete deep left intended for Demaryius Thomas is intercepted by Stephon Gilmore at BUF-14 and returned for 48 yards. Penalty on Corey Graham: Unnecessary Roughness, 15 yards",1.880,-0.670
3,8:52,1,10,BUF 26,3,21,Kyle Orton pass complete short right to Sammy Watkins for 14 yards (tackle by Rahim Moore and Aqib Talib),0.670,1.600
3,8:23,1,10,BUF 40,3,21,Kyle Orton pass complete short middle to Bryce Brown for 5 yards (tackle by Brandon Marshall),1.600,1.730
3,7:51,2,5,BUF 45,3,21,Kyle Orton pass complete short right to Chris Hogan for no gain,1.730,1.030
3,7:06,3,5,BUF 45,3,21,Kyle Orton pass complete short middle to Scott Chandler for 7 yards (tackle by David Bruton),1.030,2.390
3,6:27,1,10,DEN 48,3,21,Kyle Orton pass complete short left to Fred Jackson for -1 yards (tackle by Bradley Roby),2.390,1.710
3,5:57,2,11,DEN 49,3,21,"Penalty on Cordy Glenn: False Start, 5 yards (no play)",1.710,1.040
3,5:37,2,16,BUF 46,3,21,Kyle Orton pass incomplete short middle intended for Fred Jackson (defended by Lerentee McCray),1.040,0.370
3,5:33,3,16,BUF 46,3,21,Kyle Orton pass complete deep left to Sammy Watkins for 35 yards (tackle by Bradley Roby),0.370,4.310
3,5:07,1,10,DEN 19,3,21,Kyle Orton pass incomplete deep left intended for Robert Woods is intercepted by Chris Harris at DEN-2 and returned for 38 yards,4.310,-1.600
3,4:56,1,10,DEN 40,3,21,C.J. Anderson up the middle for no gain (tackle by Kyle Williams),1.600,1.050
3,4:56,2,10,DEN 40,3,21,Peyton Manning pass complete short left to Emmanuel Sanders for 9 yards (tackle by Corey Graham),1.050,1.550
3,3:37,3,1,DEN 49,3,21,C.J. Anderson left guard for 2 yards (tackle by Kyle Williams),1.550,2.320
3,3:08,1,10,BUF 49,3,21,Juwan Thompson right tackle for 14 yards (tackle by Marcell Dareus),2.320,3.250
3,2:23,1,10,BUF 35,3,21,Peyton Manning pass complete short left to Emmanuel Sanders for 5 yards (tackle by Aaron Williams and Preston Brown),3.250,3.380
3,1:57,2,5,BUF 30,3,21,Juwan Thompson right tackle for -2 yards (tackle by Mario Williams),3.380,2.410
3,1:16,3,7,BUF 32,3,21,Peyton Manning pass incomplete short right intended for Juwan Thompson,2.410,1.240
3,1:11,4,7,BUF 32,3,24,Connor Barth 50 yard field goal good,1.240,3.000
3,1:11,,,DEN 35,3,24,"Brandon McManus kicks off 65 yards, touchback",0.000,-0.280
3,1:06,1,10,BUF 20,3,24,Kyle Orton pass complete short left to Sammy Watkins for 8 yards (tackle by Bradley Roby),0.280,0.810
3,0:39,2,2,BUF 28,3,24,Fred Jackson up the middle for 3 yards (tackle by Brandon Marshall),0.810,1.000
3,0:08,1,10,BUF 31,3,24,Kyle Orton pass complete short left to Robert Woods for 7 yards (tackle by Bradley Roby),1.000,1.410
Quarter,Time,Down,ToGo,Location,BUF,DEN,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,2,3,BUF 38,3,24,Kyle Orton pass complete short middle to Fred Jackson for 2 yards (tackle by Brandon Marshall),1.410,0.960
4,14:22,3,1,BUF 40,3,24,Kyle Orton pass complete deep left to Sammy Watkins for 17 yards (tackle by Bradley Roby),0.960,2.720
4,14:03,1,10,DEN 43,3,24,Bryce Brown right guard for 6 yards (tackle by Brandon Marshall),2.720,2.990
4,13:25,2,4,DEN 37,3,24,Kyle Orton sacked by Chris Harris for -2 yards,2.990,2.010
4,12:41,3,6,DEN 39,3,24,Kyle Orton pass complete short left to Scott Chandler for 14 yards (tackle by Chris Harris),2.010,3.910
4,12:01,1,10,DEN 25,3,24,Kyle Orton pass incomplete short middle intended for Fred Jackson,3.910,3.360
4,11:56,2,10,DEN 25,3,24,Kyle Orton pass complete short middle to Sammy Watkins for 21 yards (tackle by Brandon Marshall),3.360,6.280
4,11:09,1,4,DEN 4,3,24,Kyle Orton pass incomplete short left intended for Marquise Goodwin,6.280,5.340
4,11:06,2,4,DEN 4,3,24,Kyle Orton pass incomplete short left intended for Fred Jackson (defended by T.J. Ward),5.340,4.490
4,11:01,3,4,DEN 4,3,24,"Kyle Orton pass incomplete short right intended for Scott Chandler. Penalty on Erik Pears: Offensive Holding (Offsetting), Penalty on Terrance Knighton: Unnecessary Roughness (Offsetting) (no play)",4.490,4.490
,,,,,,,"Replay Assistant challenged the incomplete pass ruling, and the original play was overturned.",,
4,10:56,3,4,DEN 4,3,24,"Kyle Orton pass complete short left to Scott Chandler for 4 yards. Penalty on Scott Chandler: Offensive Pass Interference, 10 yards (no play)",4.490,3.000
4,10:52,3,14,DEN 14,9,24,"Kyle Orton pass complete short right to Chris Hogan for 14 yards, touchdown",3.000,7.000
4,10:52,,,DEN 2,10,24,Dan Carpenter kicks extra point good,0.000,0.000
4,10:52,,,BUF 35,10,24,"Jordan Gay kicks off 64 yards, returned by Omar Bolden for 24 yards (tackle by Ty Powell)",0.000,-0.610
4,10:40,1,10,DEN 25,10,24,Peyton Manning pass complete short left to Emmanuel Sanders for 5 yards (tackle by Stephon Gilmore),0.610,0.740
4,10:02,2,5,DEN 30,10,24,C.J. Anderson left tackle for no gain (tackle by Brandon Spikes),0.740,0.040
4,9:17,3,5,DEN 30,10,24,C.J. Anderson left end for 5 yards (tackle by Brandon Spikes),0.040,1.270
4,8:35,1,10,DEN 35,10,24,"C.J. Anderson right tackle for 4 yards (tackle by Brandon Spikes and Preston Brown). Penalty on Paul Cornick: Offensive Holding, 10 yards (no play)",1.270,0.610
4,8:09,1,20,DEN 25,10,24,C.J. Anderson right end for 10 yards (tackle by Corey Graham),0.610,0.720
4,7:26,2,10,DEN 35,10,24,C.J. Anderson right tackle for no gain (tackle by Corbin Bryant),0.720,0.040
4,6:43,3,10,DEN 35,10,24,Peyton Manning pass complete short middle to Wes Welker for 4 yards (tackle by Nigel Bradham),0.040,0.040
4,6:33,3,10,DEN 35,10,24,Timeout #1 by Buffalo Bills,0.040,-0.780
4,6:33,4,6,DEN 39,10,24,Britton Colquitt punts 53 yards,-0.780,0.380
4,6:23,1,10,BUF 8,10,24,"Penalty on Cordy Glenn: False Start, 4 yards (no play)",-0.380,-0.530
4,6:23,1,14,BUF 4,10,24,Kyle Orton pass incomplete deep left intended for Chris Hogan,-0.530,-1.070
4,6:17,2,14,BUF 4,10,24,Kyle Orton pass incomplete deep middle intended for Sammy Watkins (defended by Brandon Marshall),-1.070,-1.890
4,6:12,3,14,BUF 4,10,24,Kyle Orton pass complete short middle to Fred Jackson for 12 yards (tackle by Brandon Marshall),-1.890,-2.390
4,5:33,4,2,BUF 16,10,24,"Colton Schmidt punts 40 yards, out of bounds",-2.390,-1.860
4,5:25,1,10,DEN 44,10,24,C.J. Anderson up the middle for no gain (tackle by Marcell Dareus),1.860,1.860
4,5:20,1,10,DEN 44,10,24,Timeout #2 by Buffalo Bills,1.860,1.320
4,5:20,2,10,DEN 44,10,24,C.J. Anderson left tackle for -5 yards (tackle by Jerry Hughes),1.320,1.320
4,5:17,2,10,DEN 44,10,24,Timeout #3 by Buffalo Bills,1.320,-0.030
4,5:17,3,15,DEN 39,10,24,C.J. Anderson right guard for 5 yards (tackle by Preston Brown and Ty Powell),-0.030,-0.460
4,4:33,4,10,DEN 44,10,24,Britton Colquitt punts 46 yards,-0.460,0.380
4,4:20,1,10,BUF 10,10,24,Kyle Orton pass complete short right to Chris Hogan for 10 yards (tackle by T.J. Ward),-0.380,0.280
4,3:52,1,10,BUF 20,10,24,Kyle Orton pass incomplete deep right intended for Sammy Watkins,0.280,-0.270
4,3:52,2,10,BUF 20,10,24,"Kyle Orton pass complete short middle to Fred Jackson for 8 yards (tackle by Brandon Marshall). Penalty on Erik Pears: Unnecessary Roughness, 14 yards",-0.270,-2.030
4,3:38,3,16,BUF 14,10,24,Kyle Orton pass incomplete short left intended for Fred Jackson,-2.030,-2.470
4,3:33,4,16,BUF 14,10,24,Kyle Orton pass complete short left to Sammy Watkins for 19 yards (tackle by Rahim Moore),-2.470,1.140
4,3:06,1,10,BUF 33,10,24,Kyle Orton pass complete short left to Fred Jackson for 2 yards (tackle by Bradley Roby),1.140,0.860
4,3:03,2,8,BUF 35,10,24,Kyle Orton pass incomplete deep left intended for Marquise Goodwin,0.860,0.170
4,2:58,3,8,BUF 35,10,24,Kyle Orton pass complete short right to Chris Hogan for 7 yards (tackle by Aqib Talib),0.170,-0.590
4,2:20,4,1,BUF 42,10,24,Kyle Orton pass complete short right to Scott Chandler for 5 yards (tackle by T.J. Ward),-0.590,2.060
4,2:15,1,10,BUF 47,10,24,Kyle Orton pass complete short middle to Scott Chandler for 5 yards (tackle by Chris Harris),2.060,2.190
4,2:00,2,5,DEN 48,10,24,Kyle Orton pass incomplete deep middle intended for Scott Chandler,2.190,1.490
4,1:55,3,5,DEN 48,10,24,"Kyle Orton pass complete short middle to Scott Chandler for 23 yards (tackle by David Bruton). Penalty on T.J. Ward: Defensive Holding (Declined), Penalty on Aqib Talib: Defensive Holding (Declined)",1.490,3.910
4,1:47,1,10,DEN 25,10,24,Kyle Orton pass incomplete deep right intended for Sammy Watkins (defended by David Bruton),3.910,3.360
4,1:41,2,10,DEN 25,10,24,Kyle Orton pass complete short middle to Scott Chandler for 12 yards (tackle by Brandon Marshall),3.360,4.710
4,1:16,1,10,DEN 13,10,24,Kyle Orton pass incomplete short middle intended for Chris Hogan,4.710,4.050
4,1:11,2,10,DEN 13,10,24,Kyle Orton pass complete short middle to Robert Woods for 12 yards (tackle by David Bruton),4.050,6.970
4,0:55,1,1,DEN 1,16,24,"Kyle Orton up the middle for 1 yard, touchdown",6.970,7.000
4,0:55,,,DEN 2,17,24,Dan Carpenter kicks extra point good,0.000,0.000
4,0:55,1,1,DEN 1,17,24,Timeout #1 by Denver Broncos,6.970,0.000
4,0:55,,,BUF 35,17,24,"Jordan Gay kicks onside 9 yards, recovered by David Bruton",0.000,-2.650
4,0:54,1,10,BUF 44,17,24,Peyton Manning kneels for -1 yards,2.650,1.980
4,0:38,2,11,BUF 45,17,24,Peyton Manning kneels for -1 yards,1.980,1.160
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
