Quarter,Time,Tm,Detail,BUF,DEN
1.0,2:43,Broncos,C.J. Anderson 6 yard rush (Connor Barth kick),0,7
2.0,11:51,Bills,Dan Carpenter 44 yard field goal,3,7
,3:26,Broncos,C.J. Anderson 1 yard rush (Connor Barth kick),3,14
3.0,12:01,Broncos,C.J. Anderson 3 yard rush (Connor Barth kick),3,21
,1:07,Broncos,Connor Barth 50 yard field goal,3,24
4.0,10:46,Bills,Chris Hogan 14 yard pass from Kyle Orton (Dan Carpenter kick),10,24
,0:55,Bills,Kyle Orton 1 yard rush (Dan Carpenter kick),17,24
