Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Antonio Gibson,WAS,14,28,1,1,16,1.1,12,0.9,0,
J.D. McKissic,WAS,3,9,0,1,8,2.7,1,0.3,0,
Carson Wentz,WAS,2,23,0,2,21,10.5,2,1.0,0,
Terry McLaurin,WAS,1,7,0,1,6,6.0,1,1.0,0,
Curtis Samuel,WAS,1,21,0,1,20,20.0,1,1.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Jamaal Williams,DET,12,53,0,2,44,3.7,9,0.8,0,
D'Andre Swift,DET,5,56,0,1,51,10.2,5,1.0,0,
Craig Reynolds,DET,3,16,0,1,11,3.7,5,1.7,0,
Jared Goff,DET,2,-2,0,0,-2,-1.0,0,0.0,0,
Amon-Ra St. Brown,DET,2,68,0,1,63,31.5,5,2.5,0,
