Quarter,Time,Tm,Detail,GNB,SEA
1.0,12:42,Packers,Ahman Green 5 yard rush (Dave Rayner kick),7,0
,3:35,Seahawks,Josh Brown 45 yard field goal,7,3
2.0,8:36,Seahawks,Josh Brown 41 yard field goal,7,6
,3:34,Seahawks,Josh Brown 37 yard field goal,7,9
,1:51,Packers,Abdul Hodge 29 yard defensive fumble return (Dave Rayner kick),14,9
,0:23,Seahawks,Josh Brown 28 yard field goal,14,12
3.0,12:39,Packers,Donald Driver 48 yard pass from Brett Favre (Dave Rayner kick),21,12
,6:19,Seahawks,D.J. Hackett 23 yard pass from Matt Hasselbeck (Josh Brown kick),21,19
4.0,14:11,Seahawks,Darrell Jackson 4 yard pass from Matt Hasselbeck (Jerramy Stevens pass from Matt Hasselbeck),21,27
,10:50,Packers,Dave Rayner 34 yard field goal,24,27
,6:13,Seahawks,Jerramy Stevens 3 yard pass from Matt Hasselbeck (Josh Brown kick),24,34
