Unnamed: 0,GNB,SEA
First Downs,14,29
Rush-Yds-TDs,20-51-1,48-235-0
Cmp-Att-Yd-TD-INT,22-36-266-1-3,17-36-157-3-3
Sacked-Yards,1-1,1-10
Net Pass Yards,265,147
Total Yards,316,382
Fumbles-Lost,2-1,2-1
Turnovers,4,4
Penalties-Yards,10-61,3-25
Third Down Conv.,6-14,4-14
Fourth Down Conv.,0-0,1-1
Time of Possession,23:53,36:07
