Unnamed: 0,BUF,NYJ
First Downs,19,21
Rush-Yds-TDs,22-134-2,34-174-1
Cmp-Att-Yd-TD-INT,18-34-205-0-2,18-25-154-1-0
Sacked-Yards,5-22,2-18
Net Pass Yards,183,136
Total Yards,317,310
Fumbles-Lost,2-0,2-1
Turnovers,2,1
Penalties-Yards,3-30,3-30
Third Down Conv.,8-13,5-13
Fourth Down Conv.,0-1,2-2
Time of Possession,27:16,32:44
