Quarter,Time,Tm,Detail,BUF,NYJ
1.0,4:39,Bills,Josh Allen 1 yard rush (Tyler Bass kick),7,0
,0:31,Jets,Greg Zuerlein 53 yard field goal,7,3
2.0,6:30,Bills,Josh Allen 36 yard rush (Tyler Bass kick),14,3
,0:32,Jets,Michael Carter 6 yard rush (Greg Zuerlein kick),14,10
3.0,4:03,Jets,James Robinson 7 yard pass from Zach Wilson (Greg Zuerlein kick),14,17
4.0,13:33,Bills,Tyler Bass 51 yard field goal,17,17
,1:43,Jets,Greg Zuerlein 28 yard field goal,17,20
