Quarter,Time,Down,ToGo,Location,ATL,GNB,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Falcons won the coin toss, Falcons to receive the opening kickoff.",,
1,15:00,,,GNB 35,0,0,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,ATL 25,0,0,Todd Gurley left guard for 4 yards (tackle by Kingsley Keke),0.610,0.600
1,14:29,2,6,ATL 29,0,0,Todd Gurley right guard for no gain (tackle by Tyler Lancaster),0.600,-0.100
1,13:46,3,6,ATL 29,0,0,Matt Ryan pass incomplete deep right intended for Calvin Ridley (defended by Darnell Savage),-0.100,-1.440
1,13:41,4,6,ATL 29,0,0,"Sterling Hofrichter punts 44 yards, fair catch by Tyler Ervin at GB-27",-1.440,-0.740
1,13:33,1,10,GNB 27,0,0,Aaron Rodgers pass incomplete deep left intended for Marquez Valdes-Scantling,0.740,0.200
1,13:28,2,10,GNB 27,0,0,Aaron Rodgers pass complete short middle to Robert Tonyan for 27 yards (tackle by Damontae Kazee and Jaylinn Hawkins),0.200,2.520
1,12:50,1,10,ATL 46,0,0,Aaron Rodgers pass complete short right to Aaron Jones for 8 yards (tackle by Foyesade Oluokun),2.520,3.060
1,12:08,2,2,ATL 38,0,0,Aaron Jones right guard for 9 yards (tackle by Damontae Kazee and Deion Jones),3.060,3.640
1,11:28,1,10,ATL 29,0,0,Aaron Jones up the middle for 23 yards (tackle by Damontae Kazee),3.640,5.830
1,10:44,1,6,ATL 6,0,0,Aaron Jones up the middle for no gain (tackle by Mykal Walker),5.830,4.950
1,10:05,2,6,ATL 6,0,6,"Aaron Rodgers pass complete short left to Aaron Jones for 6 yards, touchdown",4.950,7.000
1,10:01,,,ATL 15,0,7,Mason Crosby kicks extra point good,0.000,0.000
1,10:01,,,GNB 35,0,7,"Mason Crosby kicks off 65 yards, touchback.",0.000,0.610
1,10:01,1,10,ATL 25,0,7,Matt Ryan pass incomplete short left intended for Calvin Ridley,0.610,0.060
1,9:56,2,10,ATL 25,0,7,Todd Gurley up the middle for 4 yards (tackle by Chandon Sullivan and Krys Barnes),0.060,-0.100
1,9:19,3,6,ATL 29,0,7,Matt Ryan pass incomplete deep middle intended for Calvin Ridley,-0.100,-1.440
1,9:12,4,6,ATL 29,0,7,Sterling Hofrichter punts 37 yards out of bounds,-1.440,-1.200
1,9:05,1,10,GNB 34,0,7,Aaron Rodgers pass complete short left to Jamaal Williams for 9 yards (tackle by Tyeler Davison),1.200,1.870
1,8:17,2,1,GNB 43,0,7,Aaron Rodgers pass complete deep right to Jamaal Williams for 29 yards (tackle by Damontae Kazee),1.870,3.710
1,7:34,1,10,ATL 28,0,7,Aaron Jones left tackle for 8 yards (tackle by Isaiah Oliver),3.710,4.250
1,6:51,2,2,ATL 20,0,7,Aaron Jones right end for -5 yards (tackle by Deion Jones),4.250,2.870
1,6:03,3,7,ATL 25,0,7,Aaron Rodgers pass complete deep middle to Darrius Shepherd for 19 yards (tackle by Jaylinn Hawkins). Penalty on Grady Jarrett: Defensive Offside (Declined),2.870,5.830
1,5:34,1,6,ATL 6,0,7,Aaron Jones left tackle for 3 yards (tackle by Jaylinn Hawkins and Isaiah Oliver),5.830,5.530
1,4:49,2,3,ATL 3,0,7,Aaron Jones up the middle for no gain (tackle by Steven Means),5.530,4.720
1,4:06,3,3,ATL 3,0,7,Aaron Rodgers pass complete short right to Darrius Shepherd for 2 yards (tackle by Foyesade Oluokun),4.720,3.550
1,3:19,4,1,ATL 1,0,7,Jamaal Williams up the middle for no gain (tackle by Deion Jones),3.550,0.380
1,3:14,1,10,ATL 1,0,7,Matt Ryan pass complete short right to Julio Jones for 8 yards (tackle by Krys Barnes),-0.380,-0.200
1,2:35,2,2,ATL 9,0,7,Todd Gurley right guard for 4 yards (tackle by Darnell Savage and Tyler Lancaster),-0.200,-0.320
1,2:00,1,10,ATL 13,0,7,Todd Gurley left end for 8 yards (tackle by Krys Barnes),-0.320,0.350
1,1:29,2,2,ATL 21,0,7,Todd Gurley left guard for 2 yards (tackle by Kevin King),0.350,0.480
1,1:06,1,10,ATL 23,0,7,Todd Gurley left guard for no gain (tackle by Preston Smith),0.480,-0.070
1,0:37,2,10,ATL 23,0,7,Matt Ryan pass complete short right to Hayden Hurst for 5 yards (tackle by Will Redmond),-0.070,-0.100
Quarter,Time,Down,ToGo,Location,ATL,GNB,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,5,ATL 28,0,7,Matt Ryan pass complete short left to Russell Gage for 13 yards (tackle by Jaire Alexander),-0.100,1.660
2,14:25,1,10,ATL 41,0,7,Matt Ryan pass complete short right to Hayden Hurst for 14 yards (tackle by Ty Summers),1.660,2.590
2,13:56,1,10,GNB 45,0,7,Matt Ryan pass incomplete deep middle intended for Hayden Hurst,2.590,2.040
2,13:49,2,10,GNB 45,0,7,Matt Ryan pass complete short right to Olamide Zaccheaus for 6 yards (tackle by Kevin King),2.040,2.150
2,13:13,3,4,GNB 39,0,7,Brian Hill left guard for 1 yard (tackle by Kingsley Keke and Raven Greene),2.150,0.720
2,12:30,4,3,GNB 38,0,7,Matt Ryan pass complete short middle to Julio Jones for 19 yards (tackle by Will Redmond and Jaire Alexander),0.720,4.310
2,11:44,1,10,GNB 19,0,7,Russell Gage left end for -2 yards (tackle by Za'Darius Smith),4.310,3.490
2,11:05,2,12,GNB 21,0,7,Matt Ryan pass complete short right to Julio Jones for 1 yard (tackle by Jaire Alexander and Will Redmond),3.490,2.940
2,10:27,3,11,GNB 20,0,7,Matt Ryan pass complete short left to Russell Gage for 9 yards (tackle by Will Redmond),2.940,2.820
2,9:47,,,,,,Timeout #1 by Green Bay Packers,,
2,9:47,4,2,GNB 11,0,7,Matt Ryan right tackle for 6 yards (tackle by Adrian Amos),2.820,6.060
2,9:14,1,5,GNB 5,0,7,Todd Gurley left tackle for -3 yards (tackle by Darnell Savage),6.060,4.570
2,8:26,2,8,GNB 8,0,7,Todd Gurley left guard for 3 yards (tackle by Za'Darius Smith and Dean Lowry),4.570,4.260
2,7:46,3,5,GNB 5,0,7,Matt Ryan pass incomplete short middle intended for Russell Gage,4.260,3.010
2,7:41,4,5,GNB 5,3,7,Elliott Fry 23 yard field goal good,3.010,3.000
