Unnamed: 0,ATL,GNB
First Downs,24,22
Rush-Yds-TDs,25-78-2,26-88-0
Cmp-Att-Yd-TD-INT,28-39-285-0-0,27-33-327-4-0
Sacked-Yards,4-36,1-12
Net Pass Yards,249,315
Total Yards,327,403
Fumbles-Lost,0-0,0-0
Turnovers,0,0
Penalties-Yards,3-23,3-30
Third Down Conv.,3-12,6-11
Fourth Down Conv.,2-4,1-2
Time of Possession,30:22,29:38
