Quarter,Time,Tm,Detail,ATL,GNB
1.0,10:01,Packers,Aaron Jones 6 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
2.0,7:38,Falcons,Elliott Fry 23 yard field goal,3,7
,2:28,Packers,Robert Tonyan 19 yard pass from Aaron Rodgers (Mason Crosby kick failed),3,13
,0:46,Packers,Robert Tonyan 8 yard pass from Aaron Rodgers (Mason Crosby kick),3,20
3.0,7:20,Falcons,Todd Gurley 5 yard rush (Elliott Fry kick failed),9,20
,5:18,Packers,Robert Tonyan 21 yard pass from Aaron Rodgers (Mason Crosby kick),9,27
4.0,12:52,Falcons,Todd Gurley 3 yard rush (Elliott Fry kick),16,27
,5:55,Packers,Mason Crosby 48 yard field goal,16,30
