Quarter,Time,Down,ToGo,Location,SDG,TAM,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss, Chargers to receive the opening kickoff.",,
1,15:00,,,TAM 30,0,0,"Matt Bryant kicks off 78 yards, touchback",0.000,0.280
1,15:00,1,10,SDG 20,0,0,Philip Rivers pass complete short right to Chris Chambers for 10 yards (tackle by Phillip Buchanon),0.280,0.940
1,14:29,1,10,SDG 30,0,0,LaDainian Tomlinson left guard for 2 yards (tackle by Sabby Piscitelli),0.940,0.660
1,13:51,2,8,SDG 32,0,0,LaDainian Tomlinson left guard for 5 yards (tackle by Barrett Ruud and Cato June),0.660,0.630
1,13:11,3,3,SDG 37,0,0,Philip Rivers pass incomplete short left intended for Vincent Jackson (defended by Aqib Talib),0.630,-0.910
1,13:05,4,3,SDG 37,0,0,"Mike Scifres punts 47 yards, returned by Clifton Smith for 8 yards (tackle by Marques Harris)",-0.910,-0.540
1,12:51,1,10,TAM 24,0,0,Jeff Garcia pass complete short left to Ike Hilliard for 4 yards (tackle by Antoine Cason),0.540,0.540
1,12:22,2,6,TAM 28,0,0,Jeff Garcia pass complete short left to Jerramy Stevens for 19 yards (tackle by Antonio Cromartie),0.540,2.060
1,11:40,1,10,TAM 47,0,0,Warrick Dunn right tackle for 3 yards (tackle by Luis Castillo and Igor Olshansky),2.060,1.920
1,11:05,2,7,,0,0,Jeff Garcia pass complete short left to Joey Galloway for 4 yards (tackle by Quentin Jammer),1.920,1.750
1,10:23,3,3,SDG 46,0,0,Jeff Garcia right tackle for 4 yards (tackle by Eric Weddle),1.750,2.790
1,9:38,1,10,SDG 42,0,0,Warrick Dunn left end for 3 yards (tackle by Jacques Cesaire and Jyles Tucker),2.790,2.650
1,9:10,2,7,SDG 39,0,0,"Jeff Garcia pass complete short right to Antonio Bryant for -2 yards (tackle by Luis Castillo). Antonio Bryant fumbles (forced by Luis Castillo), recovered by Clinton Hart at SDG-41 (tackle by Jerramy Stevens)",2.650,-1.660
1,9:00,1,10,SDG 41,0,0,Philip Rivers pass complete short left to Antonio Gates for 15 yards (tackle by Ronde Barber),1.660,2.650
1,8:34,1,10,TAM 44,0,0,Philip Rivers pass complete short left to Darren Sproles for 4 yards (tackle by Barrett Ruud),2.650,2.650
1,7:54,2,6,TAM 40,0,0,LaDainian Tomlinson left guard for 5 yards (tackle by Sabby Piscitelli),2.650,2.610
1,7:19,3,1,TAM 35,0,0,LaDainian Tomlinson left guard for 4 yards (tackle by Derrick Brooks),2.610,3.510
1,6:41,1,10,TAM 31,0,0,LaDainian Tomlinson right guard for 5 yards (tackle by Tanard Jackson and Barrett Ruud),3.510,3.640
1,6:01,2,5,TAM 26,0,0,Philip Rivers pass incomplete short right intended for LaDainian Tomlinson,3.640,2.940
1,5:56,3,5,TAM 26,0,0,Philip Rivers pass complete short right to Vincent Jackson for 15 yards (tackle by Phillip Buchanon),2.940,4.840
1,5:14,1,10,TAM 11,6,0,"Philip Rivers pass complete short left to Brandon Manumaleuna for 11 yards, touchdown",4.840,7.000
1,,,,TAM 2,7,0,Nate Kaeding kicks extra point good,0.000,0.000
1,,,,SDG 30,7,0,"Nate Kaeding kicks off 53 yards, returned by Clifton Smith for 72 yards (tackle by Eric Weddle)",0.000,4.840
1,4:50,1,10,SDG 11,7,0,Cadillac Williams left tackle for 2 yards (tackle by Eric Weddle),4.840,4.510
1,4:10,2,8,SDG 9,7,0,Jeff Garcia up the middle for 7 yards (tackle by Stephen Cooper),4.510,5.120
1,3:28,3,1,SDG 2,7,0,Cadillac Williams left guard for 1 yard (tackle by Quentin Jammer and Luis Castillo),5.120,6.970
1,2:44,1,1,SDG 1,7,6,"B.J. Askew up the middle for 1 yard, touchdown",6.970,7.000
1,,,,SDG 2,7,7,Matt Bryant kicks extra point good,0.000,0.000
1,,,,TAM 30,7,7,"Matt Bryant kicks off 66 yards, returned by Darren Sproles for 27 yards (tackle by Quincy Black)",0.000,1.000
1,2:31,1,10,SDG 31,7,7,LaDainian Tomlinson left tackle for 13 yards (tackle by Sabby Piscitelli and Gaines Adams),1.000,1.860
1,1:54,1,10,SDG 44,7,7,Philip Rivers pass complete deep middle to Vincent Jackson for 18 yards (tackle by Sabby Piscitelli),1.860,3.050
1,1:10,1,10,TAM 38,7,7,LaDainian Tomlinson left tackle for 2 yards (tackle by Jovan Haye),3.050,2.780
1,0:33,2,8,TAM 36,7,7,Philip Rivers pass complete short middle to LaDainian Tomlinson for 22 yards (tackle by Ronde Barber),2.780,4.650
Quarter,Time,Down,ToGo,Location,SDG,TAM,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,TAM 14,7,7,Philip Rivers pass complete short right to LaDainian Tomlinson for -2 yards (tackle by Ronde Barber),4.650,3.720
2,14:20,2,12,TAM 16,7,7,LaDainian Tomlinson up the middle for 1 yard (tackle by Barrett Ruud and Stylez G. White),3.720,3.060
2,13:37,3,11,TAM 15,13,7,"Philip Rivers pass complete short left to Antonio Gates for 15 yards, touchdown",3.060,7.000
2,,,,TAM 2,14,7,Nate Kaeding kicks extra point good,0.000,0.000
2,,,,SDG 30,14,7,"Nate Kaeding kicks off 67 yards, returned by Clifton Smith for 21 yards (tackle by Tim Dobbins)",0.000,0.540
2,13:18,1,10,TAM 24,14,7,Jeff Garcia pass complete short left to Antonio Bryant for 11 yards (tackle by Stephen Cooper),0.540,1.270
2,12:47,1,10,TAM 35,14,7,Cadillac Williams up the middle for 4 yards (tackle by Clinton Hart),1.270,1.260
2,12:12,2,6,TAM 39,14,7,Jeff Garcia pass incomplete short middle intended for Antonio Bryant,1.260,0.560
2,12:04,,,,14,7,Timeout #1 by Tampa Bay Buccaneers,0.000,0.560
2,12:04,3,6,TAM 39,14,7,Jeff Garcia pass incomplete short right intended for Antonio Bryant (defended by Clinton Hart),0.560,-0.780
2,11:58,4,6,TAM 39,14,7,"Josh Bidwell punts 48 yards, returned by Darren Sproles for 2 yards (tackle by Donte Nicholson)",-0.780,0.220
2,11:45,1,10,SDG 15,14,7,LaDainian Tomlinson left guard for 4 yards (tackle by Kevin Carter),-0.220,-0.110
2,11:03,2,6,SDG 19,14,7,"Penalty on LaDainian Tomlinson: False Start, 5 yards (no play)",-0.110,-0.820
2,10:37,2,11,SDG 14,14,7,LaDainian Tomlinson left guard for 7 yards (tackle by Sabby Piscitelli and Barrett Ruud),-0.820,-0.630
2,9:55,3,4,SDG 21,14,7,Philip Rivers pass complete deep middle to Legedu Naanee for 18 yards (tackle by Ronde Barber),-0.630,1.530
2,9:14,1,10,SDG 39,14,7,Philip Rivers pass complete deep right to Chris Chambers for 17 yards (tackle by Phillip Buchanon),1.530,2.650
2,8:40,1,10,TAM 44,14,7,Philip Rivers pass complete deep left to Vincent Jackson for 22 yards,2.650,4.110
2,8:04,1,10,TAM 22,14,7,LaDainian Tomlinson right guard for 2 yards (tackle by Derrick Brooks),4.110,3.830
2,7:26,2,8,TAM 20,14,7,Philip Rivers pass incomplete deep right intended for Chris Chambers,3.830,3.140
2,7:20,3,8,TAM 20,14,7,Philip Rivers pass complete short middle to Legedu Naanee for 11 yards (tackle by Tanard Jackson),3.140,5.140
2,6:34,1,9,TAM 9,14,7,LaDainian Tomlinson right guard for -1 yards (tackle by Jovan Haye and Tanard Jackson),5.140,4.190
2,5:50,2,10,TAM 10,14,7,Philip Rivers pass incomplete short middle intended for LaDainian Tomlinson,4.190,3.130
2,5:46,3,10,TAM 10,14,7,Philip Rivers pass incomplete short left intended for Legedu Naanee,3.130,2.760
2,5:37,4,10,TAM 10,17,7,Nate Kaeding 28 yard field goal good,2.760,3.000
2,,,,SDG 30,17,7,"Nate Kaeding kicks off 73 yards, returned by Clifton Smith for 30 yards (tackle by Kassim Osgood)",0.000,0.740
2,5:25,1,10,TAM 27,17,7,Cadillac Williams up the middle for 3 yards (tackle by Shaun Phillips),0.740,0.600
2,4:48,2,7,TAM 30,17,7,Jeff Garcia pass incomplete short right intended for Warrick Dunn (defended by Jacques Cesaire),0.600,-0.100
2,4:41,3,7,TAM 30,17,7,Jeff Garcia pass complete short left to Warrick Dunn for no gain,-0.100,-1.370
2,3:59,4,7,TAM 30,17,7,Josh Bidwell punts 25 yards,-1.370,-1.930
