Unnamed: 0,SDG,TAM
First Downs,8,20
Rush-Yds-TDs,26-90-0,27-111-2
Cmp-Att-Yd-TD-INT,21-31-287-4-0,21-35-232-1-2
Sacked-Yards,1-7,2-1
Net Pass Yards,280,231
Total Yards,370,342
Fumbles-Lost,0-0,1-1
Turnovers,0,3
Penalties-Yards,4-25,2-25
Third Down Conv.,7-13,6-14
Fourth Down Conv.,0-0,1-2
Time of Possession,30:51,29:09
