Quarter,Time,Tm,Detail,SDG,TAM
1.0,5:04,Chargers,Brandon Manumaleuna 11 yard pass from Philip Rivers (Nate Kaeding kick),7,0
,2:39,Buccaneers,B.J. Askew 1 yard rush (Matt Bryant kick),7,7
2.0,13:26,Chargers,Antonio Gates 15 yard pass from Philip Rivers (Nate Kaeding kick),14,7
,5:32,Chargers,Nate Kaeding 28 yard field goal,17,7
,0:17,Buccaneers,Matt Bryant 49 yard field goal,17,10
,0:00,Chargers,Nate Kaeding 57 yard field goal,20,10
3.0,7:41,Buccaneers,Jeff Garcia 7 yard rush (Matt Bryant kick),20,17
,5:05,Buccaneers,Antonio Bryant 71 yard pass from Jeff Garcia (Matt Bryant kick),20,24
4.0,14:53,Chargers,Antonio Gates 5 yard pass from Philip Rivers (Nate Kaeding kick),27,24
,7:18,Chargers,Darren Sproles 32 yard pass from Philip Rivers (Nate Kaeding kick),34,24
,3:00,Chargers,Antoine Cason 59 yard interception return (Nate Kaeding kick),41,24
