Quarter,Time,Tm,Detail,BUF,TAM
2.0,9:29,Buccaneers,"Safety,",0,2
,2:36,Buccaneers,Mike Alstott 1 yard rush (Matt Bryant kick),0,9
,1:01,Bills,Rian Lindell 40 yard field goal,3,9
3.0,5:09,Buccaneers,Cadillac Williams 3 yard rush (Matt Bryant kick),3,16
4.0,9:22,Buccaneers,Matt Bryant 40 yard field goal,3,19
