Unnamed: 0,CLE,OAK
First Downs,13,16
Rush-Yds-TDs,26-70-0,31-143-0
Cmp-Att-Yd-TD-INT,21-32-198-0-1,14-30-132-1-1
Sacked-Yards,2-13,3-19
Net Pass Yards,185,113
Total Yards,255,256
Fumbles-Lost,1-1,1-0
Turnovers,2,1
Penalties-Yards,1-15,7-45
Third Down Conv.,4-15,7-16
Fourth Down Conv.,0-1,1-1
Time of Possession,26:22,33:38
