Quarter,Time,Tm,Detail,CLE,OAK
2.0,1:16,Raiders,Randy Moss 28 yard pass from Kerry Collins (Sebastian Janikowski kick),0,7
,0:00,Browns,Phil Dawson 44 yard field goal,3,7
3.0,1:48,Browns,Phil Dawson 24 yard field goal,6,7
4.0,0:00,Browns,Phil Dawson 37 yard field goal,9,7
