Unnamed: 0,CIN,CLE
First Downs,24,5
Rush-Yds-TDs,45-244-3,17-53-0
Cmp-Att-Yd-TD-INT,14-24-117-0-1,10-18-80-0-2
Sacked-Yards,2-14,3-26
Net Pass Yards,103,54
Total Yards,347,107
Fumbles-Lost,3-0,0-0
Turnovers,1,2
Penalties-Yards,5-41,9-68
Third Down Conv.,7-14,1-10
Fourth Down Conv.,2-2,1-1
Time of Possession,38:52,21:08
