Quarter,Time,Down,ToGo,Location,PHI,NOR,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Saints won the coin toss, Saints to receive the opening kickoff.",,
1,15:00,,,PHI 30,0,0,"David Akers kicks off 69 yards, returned by Aaron Stecker for 31 yards (tackle by Sean Considine)",0.000,1.070
1,14:52,1,10,NOR 32,0,0,Deuce McAllister right end for 2 yards (tackle by Brian Dawkins),1.070,0.800
1,14:16,2,8,NOR 34,0,0,Deuce McAllister left guard for 10 yards (tackle by Trent Cole and Joselio Hanson),0.800,1.860
1,13:37,1,10,NOR 44,0,0,Reggie Bush left end for -1 yards (tackle by Brian Dawkins),1.860,1.180
1,13:12,2,11,NOR 43,0,0,Drew Brees pass complete short right to Reggie Bush for 10 yards (tackle by Jeremiah Trotter),1.180,1.820
1,12:57,3,1,PHI 47,0,0,Drew Brees pass complete short right to Ernie Conwell for 6 yards (tackle by Brian Dawkins and Dhani Jones),1.820,2.850
1,12:17,1,10,PHI 41,0,0,Drew Brees pass complete short left to Aaron Stecker for 7 yards (tackle by Sheldon Brown),2.850,3.250
1,11:40,2,3,PHI 34,0,0,Deuce McAllister right tackle for 4 yards (tackle by Mike Patterson),3.250,3.580
1,11:01,1,10,PHI 30,0,0,Reggie Bush left guard for -4 yards (tackle by Trent Cole),3.580,2.490
1,10:24,2,14,PHI 34,0,0,Reggie Bush left guard for 4 yards (tackle by Darren Howard and Sheldon Brown),2.490,2.340
1,9:46,3,10,PHI 30,0,0,Drew Brees pass complete short right to Reggie Bush for 9 yards (tackle by Lito Sheppard),2.340,2.210
1,9:01,4,1,PHI 21,0,3,John Carney 39 yard field goal good,2.210,3.000
1,,,,NOR 30,0,3,"John Carney kicks off 67 yards, returned by Dexter Wynn for 19 yards (tackle by Danny Clark)",0.000,0.410
1,8:51,1,10,PHI 22,0,3,Donovan McNabb pass complete short right to Reggie Brown for 17 yards (tackle by Scott Shanle),0.410,1.530
1,8:24,1,10,PHI 39,0,3,"Penalty on Reggie Brown: False Start, 5 yards (no play)",1.530,1.200
1,8:08,1,15,PHI 34,0,3,Donovan McNabb pass complete short left to Correll Buckhalter for 10 yards (tackle by Scott Shanle),1.200,1.660
