Unnamed: 0,PHI,NOR
First Downs,20,22
Rush-Yds-TDs,19-99-1,30-98-0
Cmp-Att-Yd-TD-INT,19-32-247-2-1,27-38-275-3-2
Sacked-Yards,3-21,0-0
Net Pass Yards,226,275
Total Yards,325,373
Fumbles-Lost,2-1,1-0
Turnovers,2,2
Penalties-Yards,8-67,7-64
Third Down Conv.,3-10,8-16
Fourth Down Conv.,0-0,0-0
Time of Possession,25:57,34:03
