Quarter,Time,Tm,Detail,JAX,BUF
1.0,3:23,Bills,Willis McGahee 4 yard rush (Rian Lindell kick),0,7
2.0,12:58,Bills,Rian Lindell 21 yard field goal,0,10
,10:25,Jaguars,Maurice Jones-Drew 14 yard rush (Josh Scobee kick),7,10
,6:32,Bills,Willis McGahee 30 yard rush (Rian Lindell kick),7,17
,1:11,Jaguars,Marcedes Lewis 1 yard pass from David Garrard (Josh Scobee kick),14,17
3.0,3:46,Bills,Roscoe Parrish 82 yard punt return (Rian Lindell kick),14,24
4.0,14:56,Jaguars,Josh Scobee 27 yard field goal,17,24
,0:28,Jaguars,Matt Jones 3 yard pass from David Garrard (Josh Scobee kick),24,24
,0:00,Bills,Rian Lindell 42 yard field goal,24,27
