Unnamed: 0,JAX,BUF
First Downs,19,13
Rush-Yds-TDs,35-207-1,23-72-2
Cmp-Att-Yd-TD-INT,16-22-132-2-0,21-28-169-0-1
Sacked-Yards,3-16,0-0
Net Pass Yards,116,169
Total Yards,323,241
Fumbles-Lost,2-1,3-0
Turnovers,1,1
Penalties-Yards,10-108,4-55
Third Down Conv.,1-11,3-10
Fourth Down Conv.,2-2,0-0
Time of Possession,32:10,27:50
