Unnamed: 0,ARI,STL
First Downs,13,13
Rush-Yds-TDs,33-143-0,20-69-0
Cmp-Att-Yd-TD-INT,16-30-139-0-0,20-39-229-0-1
Sacked-Yards,1-8,2-18
Net Pass Yards,131,211
Total Yards,274,280
Fumbles-Lost,1-0,3-1
Turnovers,0,2
Penalties-Yards,8-59,6-69
Third Down Conv.,5-17,4-15
Fourth Down Conv.,0-0,0-1
Time of Possession,34:24,25:36
