Unnamed: 0,HOU,BUF
First Downs,24,9
Rush-Yds-TDs,41-182-3,20-97-1
Cmp-Att-Yd-TD-INT,25-34-268-0-2,15-23-117-0-2
Sacked-Yards,1-11,2-10
Net Pass Yards,257,107
Total Yards,439,204
Fumbles-Lost,1-1,1-0
Turnovers,3,2
Penalties-Yards,5-45,4-36
Third Down Conv.,7-13,2-10
Fourth Down Conv.,0-0,0-1
Time of Possession,39:08,20:52
