Unnamed: 0,ATL,SFO
First Downs,17,18
Rush-Yds-TDs,14-17-0,38-133-0
Cmp-Att-Yd-TD-INT,30-45-303-1-0,15-26-185-2-2
Sacked-Yards,2-18,0-0
Net Pass Yards,285,185
Total Yards,302,318
Fumbles-Lost,1-0,0-0
Turnovers,0,2
Penalties-Yards,6-63,5-30
Third Down Conv.,5-15,6-15
Fourth Down Conv.,0-0,2-2
Time of Possession,32:08,27:52
