Quarter,Time,Tm,Detail,ATL,SFO
1.0,9:24,Falcons,Matt Bryant 44 yard field goal,3,0
2.0,13:41,49ers,Garrett Celek 1 yard pass from Blaine Gabbert (Phil Dawson kick),3,7
,6:05,Falcons,Matt Bryant 36 yard field goal,6,7
,3:20,49ers,Phil Dawson 44 yard field goal,6,10
,1:16,49ers,Garrett Celek 11 yard pass from Blaine Gabbert (Phil Dawson kick),6,17
,0:13,Falcons,Devonta Freeman 17 yard pass from Matt Ryan (Matt Bryant kick),13,17
4.0,2:56,Falcons,Matt Bryant 19 yard field goal,16,17
