Unnamed: 0,WAS,PHI
First Downs,26,23
Rush-Yds-TDs,28-107-2,27-104-1
Cmp-Att-Yd-TD-INT,29-41-290-1-0,25-37-319-2-0
Sacked-Yards,5-32,3-8
Net Pass Yards,258,311
Total Yards,365,415
Fumbles-Lost,2-0,1-0
Turnovers,0,0
Penalties-Yards,7-41,11-81
Third Down Conv.,8-17,4-12
Fourth Down Conv.,2-2,2-2
Time of Possession,35:07,30:55
