Quarter,Time,Tm,Detail,NYJ,GNB
1.0,13:01,Jets,Geno Smith 1 yard rush (Nick Folk kick),7,0
,8:24,Jets,Eric Decker 29 yard pass from Geno Smith (Nick Folk kick),14,0
,4:06,Packers,Mason Crosby 31 yard field goal,14,3
2.0,10:38,Jets,Chris Ivory 4 yard rush (Nick Folk kick),21,3
,5:43,Packers,Mason Crosby 20 yard field goal,21,6
,3:12,Packers,Mason Crosby 55 yard field goal,21,9
,0:08,Packers,Randall Cobb 6 yard pass from Aaron Rodgers (Mason Crosby kick),21,16
3.0,5:45,Packers,Randall Cobb 1 yard pass from Aaron Rodgers (Randall Cobb pass from Aaron Rodgers),21,24
,2:21,Jets,Nick Folk 52 yard field goal,24,24
,2:08,Packers,Jordy Nelson 80 yard pass from Aaron Rodgers (Mason Crosby kick),24,31
