Unnamed: 0,NYJ,GNB
First Downs,19,25
Rush-Yds-TDs,37-147-2,22-80-0
Cmp-Att-Yd-TD-INT,16-32-176-1-1,25-42-346-3-0
Sacked-Yards,2-10,4-36
Net Pass Yards,166,310
Total Yards,313,390
Fumbles-Lost,1-0,3-1
Turnovers,1,1
Penalties-Yards,7-82,3-34
Third Down Conv.,8-17,7-14
Fourth Down Conv.,2-3,0-0
Time of Possession,30:26,29:34
