Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
1,5:10,1,10,SFO 43,0,0,Raheem Mostert left tackle for 9 yards (tackle by Cole Holcomb and Kendall Fuller),1.800,2.470
1,4:29,2,1,WAS 48,0,0,Nick Mullens pass complete deep left to Brandon Aiyuk for 17 yards (tackle by Kamren Curl),2.470,3.510
1,3:41,1,10,WAS 31,0,0,Raheem Mostert right end for 9 yards (tackle by Deshazor Everett and Daron Payne),3.510,4.180
1,2:57,2,1,WAS 22,0,0,Raheem Mostert right tackle for 4 yards (tackle by Ryan Kerrigan and Daron Payne),4.180,4.370
1,2:11,1,10,WAS 18,0,0,"Nick Mullens pass incomplete short left intended for Jordan Reed. Penalty on Chase Young: Defensive Offside, 5 yards (no play)",4.370,5.410
1,2:06,1,5,WAS 13,0,0,Jeff Wilson left end for 11 yards (tackle by Cole Holcomb and Kendall Fuller),5.410,6.740
1,1:28,1,2,WAS 2,0,0,Jeff Wilson up the middle for 1 yard (tackle by Cole Holcomb and Chase Young),6.740,5.910
1,0:50,2,1,WAS 1,0,6,"Jeff Wilson up the middle for 1 yard, touchdown",5.910,7.000
1,0:47,,,WAS 15,0,7,Robbie Gould kicks extra point good,0.000,0.000
1,0:47,,,SFO 35,0,7,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
1,0:47,1,10,WAS 25,0,7,Alex Smith pass incomplete deep right intended for Logan Thomas,0.610,0.060
1,0:41,2,10,WAS 25,0,7,Alex Smith pass complete short right to Peyton Barber for 2 yards (tackle by Azeez Al-Shaair),0.060,-0.360
1,0:08,3,8,WAS 27,0,7,Alex Smith pass incomplete short right intended for J.D. McKissic,-0.360,-1.570
1,0:04,4,8,WAS 27,0,7,"Tress Way punts 55 yards, returned by Richie James for 2 yards (tackle by James Smith-Williams)",-1.570,-0.280
Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,SFO 20,0,7,Raheem Mostert left end for 6 yards (tackle by Jonathan Bostic),0.280,0.540
2,14:38,2,4,SFO 26,0,7,Nick Mullens pass incomplete deep middle intended for Kendrick Bourne,0.540,-0.160
2,14:34,3,4,SFO 26,0,7,Nick Mullens pass complete deep middle to Brandon Aiyuk for 18 yards (tackle by Kamren Curl). Penalty on Deshazor Everett: Defensive Pass Interference (Declined),-0.160,1.860
2,14:11,1,10,SFO 44,0,7,Nick Mullens pass incomplete short middle intended for Kendrick Bourne,1.860,1.320
2,14:07,2,10,SFO 44,0,7,Jeff Wilson up the middle for 1 yard (tackle by Montez Sweat),1.320,0.760
2,13:26,3,9,SFO 45,0,7,"Penalty on Kendrick Bourne: False Start, 5 yards (no play)",0.760,0.100
2,13:02,3,14,SFO 40,0,7,Nick Mullens pass complete short right to Richie James for 4 yards (tackle by Jonathan Bostic),0.100,-0.460
2,12:32,4,10,SFO 44,0,7,Mitch Wishnowsky punts 41 yards out of bounds,-0.460,0.220
2,12:24,1,10,WAS 15,0,7,Peyton Barber right tackle for 7 yards (tackle by Fred Warner),-0.220,0.350
2,11:49,2,3,WAS 22,0,7,Peyton Barber left tackle for -2 yards (tackle by Javon Kinlaw),0.350,-0.760
2,11:08,3,5,WAS 20,0,7,Alex Smith pass incomplete deep right intended for Robert Foster,-0.760,-2.030
2,11:03,4,5,WAS 20,0,7,"Tress Way punts 48 yards, fair catch by Richie James at SF-32",-2.030,-1.070
2,10:56,1,10,SFO 32,0,7,"Penalty on Trent Williams: False Start, 5 yards (no play)",1.070,0.740
2,10:56,1,15,SFO 27,0,7,Nick Mullens sacked by Kevin Pierre-Louis for -9 yards,0.740,-1.470
2,10:17,2,24,SFO 18,0,7,Nick Mullens pass incomplete short middle intended for Jordan Reed (defended by Ryan Kerrigan),-1.470,-2.270
2,10:11,3,24,SFO 18,0,7,Jeff Wilson up the middle for no gain (tackle by Montez Sweat),-2.270,-2.240
2,9:41,4,24,SFO 18,0,7,"Mitch Wishnowsky punts 44 yards, fair catch by Steven Sims at WAS-38",-2.240,-1.470
2,9:34,1,10,WAS 38,0,7,Alex Smith pass complete short right to Terry McLaurin for 11 yards (tackle by Richard Sherman),1.470,2.190
2,8:55,1,10,WAS 49,0,7,Alex Smith pass incomplete short right intended for Steven Sims,2.190,1.650
2,8:50,2,10,WAS 49,0,7,Alex Smith pass complete short right to Terry McLaurin for 13 yards (tackle by Richard Sherman),1.650,3.050
2,8:11,1,10,SFO 38,0,7,J.D. McKissic left end for 2 yards (tackle by Jordan Willis and Arik Armstead),3.050,2.780
2,7:31,2,8,SFO 36,0,7,Peyton Barber up the middle for 3 yards (tackle by Javon Kinlaw and Dre Greenlaw),2.780,2.480
2,6:55,3,5,SFO 33,0,7,"Penalty on Terry McLaurin: False Start, 5 yards (no play)",2.480,1.820
2,6:33,3,10,SFO 38,0,7,Alex Smith pass complete short right to Logan Thomas for 5 yards (tackle by Jimmie Ward),1.820,1.170
2,5:50,4,5,SFO 33,3,7,Dustin Hopkins 51 yard field goal good,1.170,3.000
2,5:45,,,WAS 35,3,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,5:45,1,10,SFO 25,3,7,Jeff Wilson up the middle for 6 yards (tackle by Kamren Curl),0.610,0.870
2,5:09,2,4,SFO 31,3,7,"Jeff Wilson right tackle for -5 yards (tackle by Chase Young). Jeff Wilson fumbles (forced by Chase Young), recovered by Daron Payne at SF-26",0.870,-3.840
2,5:03,1,10,SFO 26,3,7,Alex Smith pass complete short left to Logan Thomas for 9 yards (tackle by Fred Warner and Jimmie Ward),3.840,4.640
2,4:39,2,1,SFO 17,3,7,Alex Smith pass complete short right to Isaiah Wright for 9 yards (tackle by Fred Warner),4.640,5.370
2,4:00,1,8,SFO 8,3,7,Alex Smith pass incomplete short middle intended for Robert Foster,5.370,4.570
2,3:55,2,8,SFO 8,3,7,Alex Smith pass incomplete short right,4.570,3.580
2,3:49,3,8,SFO 8,3,7,Alex Smith sacked by Jordan Willis for -5 yards,3.580,2.570
2,3:10,4,13,SFO 13,6,7,Dustin Hopkins 31 yard field goal good,2.570,3.000
2,3:06,,,WAS 35,6,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,3:06,1,10,SFO 25,6,7,Raheem Mostert left tackle for 2 yards (tackle by Jonathan Allen),0.610,0.330
2,3:00,,,,,,Timeout #1 by Washington Football Team,,
2,3:00,2,8,SFO 27,6,7,Nick Mullens pass incomplete short middle intended for Raheem Mostert (defended by Chase Young),0.330,-0.360
2,2:56,3,8,SFO 27,6,7,Nick Mullens pass incomplete short left intended for Jordan Reed,-0.360,-1.570
2,2:52,4,8,SFO 27,6,7,"Mitch Wishnowsky punts 45 yards, fair catch by Steven Sims at WAS-28",-1.570,-0.810
2,2:44,1,10,WAS 28,6,7,J.D. McKissic left tackle for 9 yards (tackle by Tarvarius Moore),0.810,1.480
2,2:17,2,1,WAS 37,6,7,Alex Smith pass complete short right to Logan Thomas for 5 yards (tackle by Fred Warner),1.480,1.730
2,2:00,1,10,WAS 42,6,7,Alex Smith pass incomplete short right intended for J.D. McKissic,1.730,1.190
2,1:56,2,10,WAS 42,6,7,Alex Smith pass deep left intended for Cam Sims is intercepted by Jason Verrett at SF-38 and returned for no gain,1.190,-1.470
2,1:50,1,10,SFO 38,6,7,Nick Mullens pass complete short left to Brandon Aiyuk for 11 yards (tackle by Montez Sweat),1.470,2.190
2,1:11,1,10,SFO 49,12,7,"Nick Mullens sacked by Daron Payne for -2 yards. Nick Mullens fumbles (forced by Daron Payne), recovered by Chase Young at SF-47 and returned for 47 yards, touchdown",2.190,-7.000
2,0:58,,,SFO 15,13,7,Dustin Hopkins kicks extra point good,0.000,0.000
2,0:58,,,WAS 35,13,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,0:58,,,,,,Timeout #2 by Washington Football Team,,
2,0:58,1,10,SFO 25,13,7,Nick Mullens pass complete short middle to Jordan Reed for 8 yards (tackle by Cole Holcomb),0.610,1.140
2,0:40,2,2,SFO 33,13,7,Nick Mullens pass complete short left to Brandon Aiyuk for 12 yards (tackle by Jonathan Bostic and Deshazor Everett),1.140,1.930
2,0:32,,,,,,Timeout #2 by San Francisco 49ers,,
2,0:32,1,10,SFO 45,13,7,Nick Mullens pass incomplete short left intended for Kendrick Bourne,1.930,1.380
2,0:28,2,10,SFO 45,13,7,"Nick Mullens pass incomplete short middle intended for Brandon Aiyuk Penalty on SFO: Illegal Motion, 5 yards (no play)",1.380,0.710
2,0:24,2,15,SFO 40,13,7,Nick Mullens pass incomplete short middle intended for Jordan Reed,0.710,0.040
2,0:20,3,15,SFO 40,13,7,Nick Mullens pass incomplete short left,0.040,-0.720
2,0:15,4,15,SFO 40,13,7,"Mitch Wishnowsky punts 54 yards, returned by Steven Sims for 14 yards (tackle by Demetrius Flannigan-Fowles)",-0.720,-0.280
2,0:05,1,10,WAS 20,13,7,Dwayne Haskins kneels for -2 yards,0.280,-0.630
Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 35,13,7,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,WAS 25,13,7,J.D. McKissic up the middle for 17 yards (tackle by Jimmie Ward),0.610,1.730
3,14:20,1,10,WAS 42,13,7,Peyton Barber up the middle for 9 yards (tackle by Fred Warner),1.730,2.400
3,13:53,2,1,SFO 49,13,7,Peyton Barber up the middle for no gain (tackle by Javon Kinlaw),2.400,1.690
3,13:17,3,1,SFO 49,13,7,Dwayne Haskins pass complete short left to J.D. McKissic for 13 yards (tackle by Tarvarius Moore),1.690,3.180
3,12:41,1,10,SFO 36,13,7,Dwayne Haskins pass complete short left to Logan Thomas for 12 yards (tackle by Jason Verrett),3.180,3.970
3,12:09,1,10,SFO 24,13,7,Dwayne Haskins pass incomplete short right intended for Jeremy Sprinkle,3.970,3.430
3,12:03,2,10,SFO 24,13,7,J.D. McKissic up the middle for 17 yards (tackle by Dre Greenlaw and Jimmie Ward),3.430,5.600
3,11:24,1,7,SFO 7,13,7,J.D. McKissic left end for -1 yards (tackle by Dre Greenlaw),5.600,4.570
3,10:54,2,8,SFO 8,13,7,Peyton Barber up the middle for 5 yards (tackle by Jimmie Ward and Azeez Al-Shaair),4.570,4.720
3,10:12,3,3,SFO 3,13,7,Dwayne Haskins pass incomplete short middle intended for Terry McLaurin,4.720,3.040
3,10:08,4,3,SFO 3,16,7,Dustin Hopkins 21 yard field goal good,3.040,3.000
3,10:05,,,WAS 35,16,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,10:05,1,10,SFO 25,16,7,Raheem Mostert up the middle for -2 yards (tackle by Montez Sweat),0.610,-0.210
3,9:30,2,12,SFO 23,16,7,Nick Mullens pass incomplete short right intended for Kendrick Bourne (defended by Ronald Darby),-0.210,-0.890
3,9:26,3,12,SFO 23,16,7,Nick Mullens sacked by Montez Sweat for -5 yards,-0.890,-2.240
3,8:54,4,17,SFO 18,16,7,"Mitch Wishnowsky punts 48 yards, fair catch by Steven Sims at WAS-34",-2.240,-1.200
3,8:47,1,10,WAS 34,16,7,Dwayne Haskins pass complete short left to Cam Sims for 8 yards (tackle by Dontae Johnson),1.200,1.740
3,8:18,2,2,WAS 42,16,7,Peyton Barber right tackle for 3 yards (tackle by Azeez Al-Shaair),1.740,1.930
3,7:44,1,10,WAS 45,16,7,Peyton Barber up the middle for 5 yards (tackle by Arik Armstead),1.930,2.060
3,7:07,2,5,WAS 50,16,7,Dwayne Haskins pass complete short right to Peyton Barber for -1 yards (tackle by Dre Greenlaw),2.060,1.220
3,6:24,3,6,WAS 49,16,7,Dwayne Haskins pass complete short middle to Logan Thomas for 9 yards (tackle by Azeez Al-Shaair),1.220,2.790
3,5:43,1,10,SFO 42,16,7,Isaiah Wright pass incomplete short left,2.790,2.240
3,5:35,2,10,SFO 42,16,7,J.D. McKissic up the middle for 3 yards (tackle by Tarvarius Moore),2.240,1.950
3,4:56,3,7,SFO 39,16,7,Dwayne Haskins pass incomplete short right intended for Steven Sims,1.950,0.660
3,4:52,4,7,SFO 39,16,7,"Tress Way punts 31 yards, fair catch by Richie James at SF-8",0.660,0.380
3,4:45,1,10,SFO 8,16,7,Raheem Mostert up the middle for 6 yards (tackle by Jonathan Bostic),-0.380,-0.320
3,4:08,2,4,SFO 14,16,7,Nick Mullens pass complete short middle to Brandon Aiyuk for 12 yards (tackle by Deshazor Everett),-0.320,0.670
3,3:43,1,10,SFO 26,16,7,Nick Mullens pass complete deep right to Kendrick Bourne for 16 yards (tackle by Deshazor Everett),0.670,1.730
3,3:20,1,10,SFO 42,16,7,Nick Mullens pass incomplete short left intended for Brandon Aiyuk,1.730,1.190
3,3:15,2,10,SFO 42,16,7,Jeff Wilson left end for 4 yards (tackle by Cole Holcomb and Jonathan Bostic),1.190,1.030
3,2:36,3,6,SFO 46,16,7,Nick Mullens pass complete short middle to Richie James for 10 yards (tackle by Jonathan Bostic and Jeremy Reaves),1.030,2.650
3,1:54,1,10,WAS 44,16,7,Nick Mullens pass incomplete deep left intended for Brandon Aiyuk (defended by Jeremy Reaves),2.650,2.110
3,1:49,2,10,WAS 44,16,7,Nick Mullens pass complete short right to Raheem Mostert for -1 yards (tackle by James Smith-Williams),2.110,1.290
3,1:09,3,11,WAS 45,16,7,Nick Mullens pass complete short right to Jeff Wilson for 13 yards (tackle by Jeremy Reaves),1.290,3.450
3,0:38,1,10,WAS 32,16,7,Raheem Mostert right end for 8 yards (tackle by Cole Holcomb),3.450,3.980
3,0:01,2,2,WAS 24,22,7,"Nick Mullens pass short right intended for Kyle Juszczyk is intercepted by Kamren Curl at WAS-24 and returned for 76 yards, touchdown",3.980,-7.000
3,0:00,,,SFO 15,23,7,Dustin Hopkins kicks extra point good,0.000,0.000
Quarter,Time,Down,ToGo,Location,WAS,SFO,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,,,WAS 35,23,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
4,15:00,1,10,SFO 25,23,7,Raheem Mostert left tackle for 1 yard (tackle by Jonathan Allen),0.610,0.200
4,14:20,2,9,SFO 26,23,7,Nick Mullens pass incomplete short middle intended for Raheem Mostert (defended by Daron Payne),0.200,-0.490
4,14:16,3,9,SFO 26,23,7,"Nick Mullens pass complete short right to Jordan Reed for 5 yards (tackle by Jeremy Reaves and Jonathan Bostic). Penalty on Montez Sweat: Roughing the Passer, 15 yards",-0.490,1.990
4,13:49,1,10,SFO 46,23,7,Nick Mullens pass incomplete short right intended for Brandon Aiyuk (defended by Ronald Darby),1.990,1.450
4,13:43,2,10,SFO 46,23,7,Nick Mullens pass incomplete short middle intended for Brandon Aiyuk,1.450,0.760
4,13:40,3,10,SFO 46,23,7,Nick Mullens pass complete short middle to Richie James for 16 yards (tackle by Jeremy Reaves),0.760,3.050
4,12:58,1,10,WAS 38,23,7,Nick Mullens pass complete short middle to Ross Dwelley for 6 yards (tackle by Shaun Dion Hamilton),3.050,3.320
4,12:15,2,4,WAS 32,23,7,Raheem Mostert left end for 14 yards (tackle by Jeremy Reaves),3.320,4.370
4,11:42,1,10,WAS 18,23,7,Nick Mullens pass complete short left to Kyle Juszczyk for 9 yards (tackle by Kendall Fuller),4.370,5.420
4,11:03,2,1,WAS 9,23,7,Kyle Juszczyk up the middle for 3 yards (tackle by Ronald Darby and Kendall Fuller),5.420,5.830
4,10:24,1,6,WAS 6,23,13,"Nick Mullens pass complete short left to Kyle Juszczyk for 6 yards, touchdown",5.830,7.000
4,10:18,,,WAS 2,23,15,"Two Point Attempt: Nick Mullens pass complete to Kendrick Bourne, conversion succeeds",1.000,1.000
4,10:18,,,SFO 35,23,15,"Mitch Wishnowsky kicks off 65 yards, touchback.",0.000,0.610
4,10:18,1,10,WAS 25,23,15,Dwayne Haskins sacked by Dion Jordan for -8 yards,0.610,-1.150
4,9:43,2,18,WAS 17,23,15,J.D. McKissic up the middle for 1 yard (tackle by Javon Kinlaw),-1.150,-1.720
4,9:03,3,17,WAS 18,23,15,Dwayne Haskins pass complete short left to Steven Sims for 5 yards (tackle by Dontae Johnson),-1.720,-1.830
4,8:48,4,12,WAS 23,23,15,"Tress Way punts 54 yards, returned by Richie James for 3 yards (tackle by Jeremy Sprinkle)",-1.830,-0.670
4,8:38,1,10,SFO 26,23,15,Nick Mullens pass complete short middle to Brandon Aiyuk for 12 yards (tackle by Cole Holcomb),0.670,1.470
4,8:09,1,10,SFO 38,23,15,"Raheem Mostert left end for 11 yards (tackle by Jeremy Reaves). Penalty on Ross Dwelley: Offensive Holding, 10 yards (no play)",1.470,0.810
4,7:46,1,20,SFO 28,23,15,Nick Mullens pass complete short right to Ross Dwelley for 14 yards (tackle by Jonathan Bostic and Jeremy Reaves),0.810,1.460
4,7:04,2,6,SFO 42,23,15,Raheem Mostert left end for no gain (tackle by Shaun Dion Hamilton and Chase Young),1.460,0.760
4,6:25,3,6,SFO 42,23,15,Nick Mullens pass incomplete short middle intended for Jeff Wilson (defended by Chase Young),0.760,-0.590
4,6:21,4,6,SFO 42,23,15,"Mitch Wishnowsky punts 44 yards, fair catch by Steven Sims at WAS-14",-0.590,0.280
4,6:14,1,10,WAS 14,23,15,Peyton Barber up the middle for no gain (tackle by Kerry Hyder),-0.280,-0.750
4,5:35,2,10,WAS 14,23,15,Dwayne Haskins pass incomplete short left intended for Peyton Barber,-0.750,-1.400
4,5:30,3,10,WAS 14,23,15,Dwayne Haskins pass incomplete short middle intended for Terry McLaurin,-1.400,-2.470
4,5:27,4,10,WAS 14,23,15,"Tress Way punts 54 yards, fair catch by Brandon Aiyuk at SF-32",-2.470,-1.070
4,5:20,1,10,SFO 32,23,15,Jeff Wilson up the middle for 9 yards (tackle by Kendall Fuller),1.070,1.740
4,4:46,2,1,SFO 41,23,15,Jeff Wilson up the middle for no gain (tackle by Daron Payne and Shaun Dion Hamilton),1.740,1.030
4,4:08,3,1,SFO 41,23,15,Nick Mullens pass incomplete short right intended for Charlie Woerner (defended by Jonathan Bostic),1.030,-0.650
4,4:04,4,1,SFO 41,23,15,Mitch Wishnowsky punts 58 yards downed by Taybor Pepper,-0.650,0.380
4,3:50,1,10,WAS 1,23,15,Penalty on Jeremy Sprinkle: False Start (no play),-0.380,-0.380
4,3:50,1,10,WAS 1,23,15,Peyton Barber up the middle for 2 yards (tackle by Azeez Al-Shaair),-0.380,-0.630
4,3:47,,,,,,Timeout #1 by San Francisco 49ers,,
4,3:47,2,8,WAS 3,23,15,Peyton Barber up the middle for 2 yards (tackle by Kerry Hyder and Dion Jordan),-0.630,-0.950
4,3:43,,,,,,Timeout #2 by San Francisco 49ers,,
4,3:43,3,6,WAS 5,23,15,Dwayne Haskins pass complete short right to J.D. McKissic for 5 yards (tackle by Dre Greenlaw),-0.950,-2.490
4,2:56,4,1,WAS 10,23,15,"Tress Way punts 52 yards, returned by Brandon Aiyuk for 10 yards (tackle by Tress Way and Robert Foster)",-2.490,-2.130
4,2:40,1,10,SFO 48,23,15,Nick Mullens pass complete short right to Brandon Aiyuk for 7 yards (tackle by Kamren Curl),2.130,2.530
4,2:04,2,3,WAS 45,23,15,Raheem Mostert right tackle for 1 yard (tackle by Chase Young and Daron Payne),2.530,1.950
4,1:59,3,2,WAS 44,23,15,"Nick Mullens pass complete short middle to Kendrick Bourne for 22 yards (tackle by Kendall Fuller). Penalty on Mike McGlinchey: Offensive Holding, 10 yards (no play)",1.950,0.630
4,1:49,3,12,SFO 46,23,15,Nick Mullens pass incomplete short right intended for Jeff Wilson,0.630,-0.320
4,1:45,4,12,SFO 46,23,15,Nick Mullens pass complete short right to Kendrick Bourne for 10 yards (tackle by Ronald Darby and Jonathan Bostic),-0.320,-1.860
4,1:38,1,10,WAS 44,23,15,"Penalty on WAS: Delay of Game, 5 yards (no play)",1.860,1.530
4,1:38,1,15,WAS 39,23,15,Dwayne Haskins kneels for -2 yards,1.530,0.370
4,1:35,,,,,,Timeout #3 by San Francisco 49ers,,
4,1:35,2,17,WAS 37,23,15,Dwayne Haskins kneels for -5 yards,0.370,-0.960
4,0:52,,,,,,Timeout #2 by Washington Football Team,,
4,0:52,3,22,WAS 32,23,15,Dwayne Haskins kneels for -3 yards,-0.960,-1.440
4,0:08,,,,,,Timeout #3 by Washington Football Team,,
4,0:08,4,25,WAS 29,23,15,"Tress Way punts 46 yards, fair catch by Richie James at SF-25",-1.440,-0.610
4,0:01,1,10,SFO 25,23,15,"Nick Mullens pass complete short left to Brandon Aiyuk for 19 yards, lateral to Kamren Curl for 3 yards, lateral to Richie James for 3 yards",0.610,2.060
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
