Quarter,Time,Tm,Detail,WAS,SFO
1.0,0:47,49ers,Jeff Wilson 1 yard rush (Robbie Gould kick),0,7
2.0,5:45,Washington,Dustin Hopkins 51 yard field goal,3,7
,3:06,Washington,Dustin Hopkins 31 yard field goal,6,7
,0:58,Washington,Chase Young 47 yard fumble return (Dustin Hopkins kick),13,7
3.0,10:05,Washington,Dustin Hopkins 21 yard field goal,16,7
,0:00,Washington,Kamren Curl 76 yard interception return (Dustin Hopkins kick),23,7
4.0,10:18,49ers,Kyle Juszczyk 6 yard pass from Nick Mullens (Kendrick Bourne pass from Nick Mullens),23,15
