Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Chargers to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 70 yards, returned by Desmond King for 25 yards (tackle by Anthony Sherman)",0.000,0.280
1,14:55,1,10,LAC 20,0,0,Justin Jackson up the middle for 4 yards (tackle by Reggie Ragland and Allen Bailey),0.280,0.270
1,14:14,2,6,LAC 24,0,0,Philip Rivers pass deep middle intended for Tyrell Williams is intercepted by Steven Nelson at LAC-49 and returned for no gain,0.270,-2.320
1,14:07,1,10,LAC 49,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 1 yard (tackle by Michael Davis),2.320,1.920
1,13:32,2,9,LAC 48,0,0,Damien Williams for 22 yards,1.920,3.840
1,12:55,1,10,LAC 26,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 5 yards (tackle by Adrian Phillips),3.840,3.970
1,12:12,2,5,LAC 21,0,0,Patrick Mahomes pass incomplete short middle intended for Travis Kelce,3.970,3.270
1,12:08,3,5,LAC 21,0,0,Patrick Mahomes pass complete short right to Damien Williams for 6 yards (tackle by Adrian Phillips),3.270,4.580
1,11:25,1,10,LAC 15,0,0,Darrel Williams up the middle for 5 yards (tackle by Joey Bosa),4.580,4.840
1,10:39,2,5,LAC 10,0,0,Patrick Mahomes pass incomplete short middle intended for Tyreek Hill,4.840,4.000
1,10:34,3,5,LAC 10,0,0,Patrick Mahomes pass complete short right to Travis Kelce for 7 yards (tackle by Jatavis Brown),4.000,6.510
1,9:56,1,3,LAC 3,0,0,Tyreek Hill left end for -2 yards (tackle by Casey Hayward),6.510,5.150
1,9:18,2,5,LAC 5,0,6,"Patrick Mahomes pass complete short right to Demarcus Robinson for 5 yards, touchdown, touchdown",5.150,7.000
1,9:09,,,LAC 15,0,7,Harrison Butker kicks extra point good,0.000,0.000
1,9:09,,,KAN 35,0,7,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,9:09,1,10,LAC 25,0,7,"Philip Rivers pass incomplete short right intended for Keenan Allen. Penalty on Orlando Scandrick: Defensive Holding, 5 yards (no play)",0.610,0.940
1,9:02,1,10,LAC 30,0,7,Justin Jackson left tackle for 3 yards (tackle by Eric Berry and Derrick Nnadi),0.940,0.800
1,8:22,2,7,LAC 33,0,7,Philip Rivers pass complete short right to Antonio Gates for 22 yards (tackle by Ron Parker),0.800,2.590
1,7:40,1,10,KAN 45,0,7,Justin Jackson up the middle for no gain (tackle by Allen Bailey),2.590,2.040
1,6:58,2,10,KAN 45,0,7,Philip Rivers sacked by Dee Ford for -7 yards. Penalty on Dan Feeney: Tripping (Declined),2.040,0.430
1,6:29,3,17,LAC 48,0,7,Philip Rivers pass complete short middle to Antonio Gates for 8 yards (tackle by Eric Berry),0.430,0.330
1,5:44,4,9,KAN 44,0,7,"Donnie Jones punts 44 yards, touchback.",0.330,-0.280
1,5:34,1,10,KAN 20,0,7,Patrick Mahomes pass complete short right to Damien Williams for 32 yards (tackle by Michael Davis),0.280,2.390
1,4:53,1,10,LAC 48,0,7,Damien Williams middle for 3 yards (tackle by Jatavis Brown and Desmond King),2.390,2.250
1,4:18,2,7,LAC 45,0,7,"Penalty on T.Y. McGill: Encroachment, 5 yards (no play)",2.250,2.930
1,4:03,2,2,LAC 40,0,7,Patrick Mahomes pass incomplete deep right intended for Travis Kelce (defended by Desmond King),2.930,2.210
1,3:58,3,2,LAC 40,0,7,Patrick Mahomes left end for 2 yards,2.210,3.050
1,3:19,1,10,LAC 38,0,7,Patrick Mahomes pass complete short middle to Darrel Williams for 8 yards (tackle by Jatavis Brown),3.050,3.590
1,2:40,2,2,LAC 30,0,7,Damien Williams middle for 4 yards (tackle by Isaac Rochell and Jatavis Brown),3.590,3.840
1,1:57,1,10,LAC 26,0,7,Patrick Mahomes pass incomplete short left intended for Demetrius Harris,3.840,3.300
1,1:52,2,10,LAC 26,0,7,"Penalty on Damion Square: Neutral Zone Infraction, 5 yards (no play)",3.300,3.970
1,1:38,2,5,LAC 21,0,7,Patrick Mahomes pass complete short left to Damien Williams for 10 yards (tackle by Derwin James and Jatavis Brown),3.970,4.840
1,0:56,1,10,LAC 11,0,7,Patrick Mahomes pass incomplete short middle intended for Tyreek Hill,4.840,4.140
1,0:51,2,10,LAC 11,0,13,"Patrick Mahomes pass complete short left to Darrel Williams for 11 yards, touchdown",4.140,7.000
1,0:43,,,LAC 15,0,14,Harrison Butker kicks extra point good,0.000,0.000
1,0:43,,,KAN 35,0,14,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,0:43,1,10,LAC 25,0,14,Philip Rivers pass complete deep left to Mike Williams for 38 yards (tackle by Eric Berry),0.610,3.120
1,0:08,1,10,KAN 37,0,14,Justin Jackson up the middle for 9 yards (tackle by Ron Parker),3.120,3.790
Quarter,Time,Down,ToGo,Location,LAC,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,1,KAN 28,0,14,Justin Jackson up the middle for 3 yards (tackle by Dee Ford and Reggie Ragland),3.790,3.910
2,14:22,1,10,KAN 25,0,14,Justin Jackson up the middle for 3 yards (tackle by Xavier Williams and Justin Houston),3.910,3.770
2,13:43,2,7,KAN 22,0,14,Philip Rivers pass complete short middle to Virgil Green for 6 yards (tackle by Anthony Hitchens and Eric Berry),3.770,4.060
2,13:05,3,1,KAN 16,0,14,Justin Jackson left guard for 3 yards (tackle by Xavier Williams),4.060,4.710
2,12:19,1,10,KAN 13,0,14,Philip Rivers sacked by Chris Jones for -8 yards,4.710,3.080
2,11:31,,,,,,Timeout #1 by Los Angeles Chargers,,
2,11:31,2,18,KAN 21,0,14,Philip Rivers pass complete short right to Justin Jackson for 8 yards (tackle by Allen Bailey),3.080,3.120
2,10:44,3,10,KAN 13,0,14,"Philip Rivers pass incomplete short right intended for Antonio Gates (defended by Daniel Sorensen). Penalty on Daniel Sorensen: Defensive Holding, 5 yards (no play)",3.120,5.370
2,10:37,1,8,KAN 8,0,14,"Philip Rivers pass incomplete short left intended for Keenan Allen. Penalty on Kendall Fuller: Defensive Holding, 4 yards (no play)",5.370,6.280
2,10:31,1,4,KAN 4,0,14,Justin Jackson up the middle for 1 yard (tackle by Eric Berry),6.280,5.530
2,9:50,2,3,KAN 3,6,14,"Philip Rivers pass complete short left to Mike Williams for 3 yards, touchdown",5.530,7.000
2,9:43,,,KAN 15,7,14,Michael Badgley kicks extra point good,0.000,0.000
2,9:43,,,LAC 35,7,14,"Michael Badgley kicks off 65 yards, (tackle by Derek Watt and Michael Badgley)",0.000,2.320
2,9:35,1,10,LAC 49,7,14,Damien Williams middle for 4 yards (tackle by Derwin James and Adrian Phillips),2.320,2.320
2,8:58,2,6,LAC 45,7,14,Patrick Mahomes pass complete short right to Tyreek Hill for 3 yards (tackle by Casey Hayward),2.320,2.020
2,8:18,3,3,LAC 42,7,14,Patrick Mahomes pass incomplete short right intended for Demetrius Harris (defended by Michael Davis),2.020,0.460
2,8:13,4,3,LAC 42,7,14,Dustin Colquitt punts 37 yards downed by Charvarius Ward,0.460,0.380
2,8:03,1,10,LAC 5,7,14,Philip Rivers pass complete short left to Mike Williams for 14 yards (tackle by Reggie Ragland),-0.380,0.150
2,7:20,1,10,LAC 19,7,14,Philip Rivers pass incomplete short left intended for Virgil Green,0.150,-0.390
2,7:16,2,10,LAC 19,7,14,Detrez Newsome left guard for 16 yards (tackle by Justin Houston),-0.390,1.270
2,6:29,1,10,LAC 35,7,14,Philip Rivers sacked by Chris Jones for -5 yards,1.270,0.050
