Unnamed: 0,ATL,CHI
First Downs,15,22
Rush-Yds-TDs,24-134-1,37-192-3
Cmp-Att-Yd-TD-INT,13-33-180-1-4,20-32-268-1-0
Sacked-Yards,2-7,3-28
Net Pass Yards,173,240
Total Yards,307,432
Fumbles-Lost,1-0,1-0
Turnovers,4,0
Penalties-Yards,1-15,5-55
Third Down Conv.,4-13,6-16
Fourth Down Conv.,0-1,1-2
Time of Possession,22:46,37:14
