Quarter,Time,Tm,Detail,DEN,MIN
1.0,12:39,Vikings,"Safety, Jared Allen tackled Willis McGahee in end zone.",0,2
,5:42,Broncos,Mario Haggan 16 yard interception return (Matt Prater kick),7,2
,1:24,Vikings,Ryan Longwell 40 yard field goal,7,5
2.0,3:33,Vikings,Kyle Rudolph 19 yard pass from Christian Ponder (Ryan Longwell kick),7,12
,0:00,Vikings,Ryan Longwell 25 yard field goal,7,15
3.0,11:18,Broncos,Demaryius Thomas 21 yard pass from Tim Tebow (Matt Prater kick),14,15
,3:12,Vikings,Percy Harvin 52 yard pass from Christian Ponder (Ryan Longwell kick),14,22
,2:48,Broncos,Demaryius Thomas 41 yard pass from Tim Tebow (Matt Prater kick),21,22
4.0,9:41,Vikings,Percy Harvin 48 yard pass from Christian Ponder (Ryan Longwell kick),21,29
,8:52,Broncos,Willis McGahee 24 yard rush (Tim Tebow run),29,29
,3:06,Vikings,Ryan Longwell 39 yard field goal,29,32
,1:33,Broncos,Matt Prater 46 yard field goal,32,32
,0:00,Broncos,Matt Prater 23 yard field goal,35,32
