Unnamed: 0,DEN,MIN
First Downs,13,27
Rush-Yds-TDs,32-150-1,30-129-0
Cmp-Att-Yd-TD-INT,10-15-202-2-0,30-48-389-3-2
Sacked-Yards,2-16,3-29
Net Pass Yards,186,360
Total Yards,336,489
Fumbles-Lost,3-2,1-1
Turnovers,2,3
Penalties-Yards,8-73,6-54
Third Down Conv.,3-11,6-15
Fourth Down Conv.,0-0,0-0
Time of Possession,22:09,37:51
