Quarter,Time,Tm,Detail,KAN,NWE
1.0,9:05,Chiefs,Harrison Butker 42 yard field goal,3,0
,5:18,Patriots,Stephen Gostkowski 48 yard field goal,3,3
,4:57,Patriots,Sony Michel 4 yard rush (Stephen Gostkowski kick),3,10
,3:25,Chiefs,Harrison Butker 43 yard field goal,6,10
2.0,12:52,Patriots,Julian Edelman 17 yard pass from Tom Brady (Stephen Gostkowski kick),6,17
,6:21,Chiefs,Harrison Butker 24 yard field goal,9,17
,1:57,Patriots,Sony Michel 1 yard rush (Stephen Gostkowski kick),9,24
3.0,13:27,Chiefs,Kareem Hunt 67 yard pass from Patrick Mahomes (Harrison Butker kick),16,24
,7:17,Patriots,Stephen Gostkowski 24 yard field goal,16,27
,3:36,Chiefs,Harrison Butker 30 yard field goal,19,27
,0:56,Chiefs,Tyreek Hill 14 yard pass from Patrick Mahomes (Harrison Butker kick),26,27
4.0,10:22,Patriots,Stephen Gostkowski 39 yard field goal,26,30
,8:38,Chiefs,Tyreek Hill 1 yard pass from Patrick Mahomes (Harrison Butker kick),33,30
,5:25,Patriots,Tom Brady 4 yard rush (Stephen Gostkowski kick),33,37
,3:15,Patriots,Stephen Gostkowski 50 yard field goal,33,40
,3:03,Chiefs,Tyreek Hill 75 yard pass from Patrick Mahomes (Harrison Butker kick),40,40
,0:00,Patriots,Stephen Gostkowski 28 yard field goal,40,43
