Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss and deferred, Patriots to receive the opening kickoff.",,
1,15:00,,,KAN 35,0,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,NWE 25,0,0,Tom Brady pass complete short left to Josh Gordon for 12 yards (tackle by Jordan Lucas),0.610,1.400
1,14:27,1,10,NWE 37,0,0,Sony Michel left guard for 5 yards (tackle by Breeland Speaks and Jordan Lucas),1.400,1.530
1,13:54,2,5,NWE 42,0,0,Sony Michel left tackle for 11 yards (tackle by Ron Parker),1.530,2.460
1,13:13,1,10,KAN 47,0,0,Tom Brady pass incomplete deep left intended for Josh Gordon,2.460,1.910
1,13:10,2,10,KAN 47,0,0,Sony Michel left end for 7 yards (tackle by Steven Nelson),1.910,2.150
1,12:35,3,3,KAN 40,0,0,Tom Brady pass incomplete short middle intended for Rob Gronkowski,2.150,0.590
1,12:31,4,3,KAN 40,0,0,Tom Brady pass incomplete short left intended for Josh Gordon,0.590,-1.660
1,12:31,1,10,KAN 41,0,0,Kareem Hunt right tackle for 4 yards (tackle by Lawrence Guy and Danny Shelton),1.660,1.660
1,11:56,2,6,KAN 45,0,0,Patrick Mahomes pass complete short middle to Travis Kelce for 17 yards (tackle by Duron Harmon),1.660,3.050
1,11:19,1,10,NWE 38,0,0,Patrick Mahomes pass complete short left to Travis Kelce for 9 yards (tackle by Jason McCourty),3.050,3.720
1,10:45,2,1,NWE 29,0,0,Kareem Hunt left tackle for 3 yards (tackle by Elandon Roberts and Trey Flowers),3.720,3.840
1,10:03,1,10,NWE 26,0,0,Patrick Mahomes pass incomplete deep right intended for Kareem Hunt,3.840,3.300
1,9:58,2,10,NWE 26,0,0,Patrick Mahomes pass complete short left to Tyreek Hill for 2 yards (tackle by Jason McCourty and Kyle Van Noy),3.300,2.870
1,9:14,3,8,NWE 24,0,0,Patrick Mahomes pass incomplete deep left intended for Tyreek Hill,2.870,1.870
1,9:09,4,8,NWE 24,3,0,Harrison Butker 42 yard field goal good,1.870,3.000
1,9:05,,,KAN 35,3,0,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,9:05,1,10,NWE 25,3,0,"Tom Brady pass incomplete short left intended for Rob Gronkowski. Penalty on Ron Parker: Defensive Holding, 5 yards (no play)",0.610,0.940
1,9:02,1,10,NWE 30,3,0,Tom Brady pass complete short left to Chris Hogan for 10 yards (tackle by Kendall Fuller),0.940,1.600
1,8:26,1,10,NWE 40,3,0,Sony Michel right guard for 8 yards (tackle by Reggie Ragland),1.600,2.130
1,7:54,2,2,NWE 48,3,0,Cordarrelle Patterson left end for 3 yards (tackle by Steven Nelson),2.130,2.320
1,7:21,1,10,KAN 49,3,0,Sony Michel up the middle for 12 yards (tackle by Ron Parker),2.320,3.120
1,6:44,1,10,KAN 37,3,0,Sony Michel left guard for no gain (tackle by Allen Bailey),3.120,2.570
1,6:03,2,10,KAN 37,3,0,Tom Brady pass incomplete short left intended for Sony Michel,2.570,1.880
1,5:58,3,10,KAN 37,3,0,Tom Brady pass complete short left to Chris Hogan for 7 yards (tackle by Anthony Hitchens and Kendall Fuller),1.880,1.480
1,5:22,4,3,KAN 30,3,3,Stephen Gostkowski 48 yard field goal good,1.480,3.000
1,5:18,,,NWE 35,3,3,"Stephen Gostkowski kicks off 68 yards, (tackle by Patrick Chung and Jonathan Jones)",0.000,0.480
1,5:12,1,10,KAN 23,3,3,Patrick Mahomes pass short middle intended for Travis Kelce is intercepted by Dont'a Hightower at KC-31 and returned for 27 yards,0.480,-6.280
1,5:01,1,4,KAN 4,3,9,"Sony Michel up the middle for 4 yards, touchdown",6.280,7.000
1,4:57,,,KAN 15,3,10,Stephen Gostkowski kicks extra point good,0.000,0.000
1,4:57,,,NWE 35,3,10,"Stephen Gostkowski kicks off 30 yards, returned by Spencer Ware for 10 yards (tackle by Nate Ebner and Nicholas Grigsby)",0.000,1.930
1,4:51,1,10,KAN 45,3,10,Patrick Mahomes pass complete short right to Kareem Hunt for 25 yards (tackle by Eric Rowe),1.930,3.580
1,4:13,1,10,NWE 30,3,10,Kareem Hunt up the middle for 6 yards (tackle by Danny Shelton),3.580,3.840
1,3:36,2,4,NWE 24,3,10,Patrick Mahomes pass incomplete short right intended for Tyreek Hill,3.840,3.140
1,3:33,3,4,NWE 24,3,10,Patrick Mahomes pass incomplete short left intended for Travis Kelce,3.140,1.940
1,3:29,4,4,NWE 24,6,10,Harrison Butker 43 yard field goal good,1.940,3.000
1,3:25,,,KAN 35,6,10,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
1,3:25,1,10,NWE 25,6,10,Kenjon Barner up the middle for 4 yards (tackle by Xavier Williams),0.610,0.600
1,2:51,2,6,NWE 29,6,10,Tom Brady pass complete short middle to Rob Gronkowski for 16 yards (tackle by Ron Parker and Jordan Lucas),0.600,1.930
1,2:14,1,10,NWE 45,6,10,Kenjon Barner left guard for 10 yards (tackle by Jordan Lucas),1.930,2.590
1,1:40,1,10,KAN 45,6,10,Kenjon Barner right guard for 2 yards (tackle by Jarvis Jenkins),2.590,2.310
1,1:02,2,8,KAN 43,6,10,Tom Brady pass complete short middle to Julian Edelman for 14 yards (tackle by Ron Parker),2.310,3.640
1,0:25,1,10,KAN 29,6,10,Sony Michel up the middle for 8 yards (tackle by Ron Parker),3.640,4.180
Quarter,Time,Down,ToGo,Location,KAN,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,KAN 21,6,10,Sony Michel right tackle for 4 yards (tackle by Dee Ford and Jordan Lucas),4.180,4.440
2,14:25,1,10,KAN 17,6,10,"Tom Brady sacked by Chris Jones for -6 yards. Tom Brady fumbles (forced by Chris Jones), recovered by David Andrews at KC-23 (tackle by Anthony Hitchens)",4.440,3.080
2,13:42,2,16,KAN 23,6,10,Tom Brady pass complete short right to Josh Gordon for 6 yards (tackle by Allen Bailey and Orlando Scandrick),3.080,3.070
2,12:58,3,10,KAN 17,6,16,"Tom Brady pass complete deep left to Julian Edelman for 17 yards, touchdown",3.070,7.000
2,12:52,,,KAN 15,6,17,Stephen Gostkowski kicks extra point good,0.000,0.000
2,12:52,,,NWE 35,6,17,"Stephen Gostkowski kicks off 65 yards, touchback.",0.000,0.610
2,12:52,1,10,KAN 25,6,17,Patrick Mahomes pass complete deep right to Chris Conley for 19 yards (tackle by Elandon Roberts),0.610,1.860
2,12:11,1,10,KAN 44,6,17,Damien Williams right end for 1 yard (tackle by Jason McCourty),1.860,1.450
2,11:24,2,9,KAN 45,6,17,Patrick Mahomes pass complete short left to Kareem Hunt for 6 yards (tackle by Jonathan Jones),1.450,1.550
2,10:49,3,3,NWE 49,6,17,Patrick Mahomes pass complete short right to Kareem Hunt for 7 yards (tackle by Adrian Clayborn),1.550,2.790
2,10:10,1,10,NWE 42,6,17,"Penalty on Cameron Erving: False Start, 5 yards (no play)",2.790,2.460
2,9:49,1,15,NWE 47,6,17,Kareem Hunt right end for 22 yards (tackle by Devin McCourty),2.460,3.910
2,9:15,1,10,NWE 25,6,17,Spencer Ware up the middle for 1 yard (tackle by Lawrence Guy and Elandon Roberts),3.910,3.500
2,8:32,2,9,NWE 24,6,17,Patrick Mahomes pass complete short left to Travis Kelce for 17 yards (tackle by Patrick Chung),3.500,5.600
2,7:51,1,7,NWE 7,6,17,Kareem Hunt up the middle for 3 yards (tackle by Trey Flowers and Elandon Roberts),5.600,5.340
2,7:15,2,4,NWE 4,6,17,Patrick Mahomes pass complete short middle to Anthony Sherman for -2 yards (tackle by Trey Flowers),5.340,4.040
2,6:30,3,6,NWE 6,6,17,Patrick Mahomes pass incomplete short right intended for Sammy Watkins (defended by Stephon Gilmore),4.040,2.990
2,6:24,4,6,NWE 6,9,17,Harrison Butker 24 yard field goal good,2.990,3.000
2,6:21,,,KAN 35,9,17,"Harrison Butker kicks off 65 yards, touchback.",0.000,0.610
2,6:21,1,10,NWE 25,9,17,Tom Brady pass complete short left to James White for 17 yards (tackle by Anthony Hitchens),0.610,1.730
2,5:43,1,10,NWE 42,9,17,James White up the middle for 5 yards (tackle by Anthony Hitchens),1.730,1.860
2,4:58,2,5,NWE 47,9,17,Tom Brady pass complete short right to Cordarrelle Patterson for 13 yards (tackle by Ron Parker),1.860,2.920
2,4:19,1,10,KAN 40,9,17,Tom Brady pass complete short right to Julian Edelman for 2 yards (tackle by Orlando Scandrick),2.920,2.640
2,3:34,,,,,,Timeout #1 by New England Patriots,,
2,3:34,2,8,KAN 38,9,17,"Tom Brady pass incomplete deep left intended for Josh Gordon. Penalty on Steven Nelson: Defensive Pass Interference, 37 yards (no play)",2.640,6.970
2,3:27,1,1,KAN 1,9,17,Tom Brady pass complete short right to James Develin for -1 yards (tackle by Anthony Hitchens),6.970,5.720
