Quarter,Time,Tm,Detail,BUF,DET
1.0,7:05,Lions,Jason Hanson 43 yard field goal,0,3
,3:23,Lions,Kevin Jones 7 yard rush (Jason Hanson kick),0,10
2.0,14:11,Bills,Roscoe Parrish 44 yard pass from J.P. Losman (Rian Lindell kick),7,10
,0:40,Lions,Roy Williams 28 yard pass from Jon Kitna (Jason Hanson kick),7,17
,0:00,Bills,Rian Lindell 53 yard field goal,10,17
4.0,14:10,Lions,Jason Hanson 29 yard field goal,10,20
,9:23,Bills,Ryan Neufeld 4 yard pass from J.P. Losman (Rian Lindell kick),17,20
