Unnamed: 0,SFO,PIT
First Downs,17,19
Rush-Yds-TDs,22-91-0,33-205-1
Cmp-Att-Yd-TD-INT,17-35-209-1-1,13-20-160-1-0
Sacked-Yards,2-11,2-15
Net Pass Yards,198,145
Total Yards,289,350
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,2-10,3-13
Third Down Conv.,5-15,7-12
Fourth Down Conv.,0-1,0-0
Time of Possession,28:40,31:20
