Quarter,Time,Down,ToGo,Location,SFO,PIT,Detail,EPB,EPA
1,4:16,2,8,PIT 8,3,7,"Penalty on Troy Polamalu: Defensive Offside, 3 yards (no play)",4.570,5.150
1,3:55,2,5,PIT 5,3,7,Frank Gore left guard for 1 yard (tackle by Troy Polamalu and Casey Hampton),5.150,4.490
1,3:11,3,4,PIT 4,3,7,Alex Smith pass incomplete short right intended for Delanie Walker,4.490,3.030
1,3:04,4,4,PIT 4,6,7,Joe Nedney 22 yard field goal good,3.030,3.000
1,,,,SFO 30,6,7,"Joe Nedney kicks off 57 yards, returned by Najeh Davenport for 12 yards (tackle by Keith Lewis)",0.000,0.610
1,2:56,1,10,PIT 25,6,7,Ben Roethlisberger pass complete short right to Willie Parker for 9 yards (tackle by Marques Douglas),0.610,1.280
1,2:17,2,1,PIT 34,6,7,Willie Parker left guard for 5 yards (tackle by Marques Douglas),1.280,1.530
1,1:40,1,10,PIT 39,6,7,Willie Parker up the middle for 6 yards (tackle by Michael Lewis),1.530,1.800
1,1:04,2,4,PIT 45,6,7,Willie Parker right tackle for no gain (tackle by Patrick Willis),1.800,1.090
1,0:20,3,4,PIT 45,6,7,Ben Roethlisberger pass incomplete deep left intended for Nate Washington,1.090,-0.390
1,0:15,4,4,PIT 45,6,7,Daniel Sepulveda punts 47 yards,-0.390,0.380
1,0:02,1,10,SFO 8,6,7,Alex Smith pass incomplete short right intended for Moran Norris,-0.380,-0.780
Quarter,Time,Down,ToGo,Location,SFO,PIT,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,SFO 8,6,7,Frank Gore up the middle for 4 yards (tackle by Clark Haggans and Troy Polamalu),-0.780,-0.950
2,14:19,3,6,SFO 12,6,7,Michael Robinson right guard for 7 yards (tackle by Troy Polamalu and Ike Taylor),-0.950,0.150
2,13:39,1,10,SFO 19,6,7,Alex Smith pass incomplete deep right intended for Ashley Lelie (defended by Ryan Clark),0.150,-0.390
2,13:33,2,10,SFO 19,6,7,Frank Gore up the middle for 2 yards (tackle by Troy Polamalu and Larry Foote),-0.390,-0.810
2,12:53,3,8,SFO 21,6,7,Alex Smith left guard for 3 yards (tackle by James Farrior),-0.810,-1.770
2,12:23,4,5,SFO 24,6,7,"Andy Lee punts 66 yards, returned by Allen Rossum for -2 yards (tackle by Michael Robinson)",-1.770,0.380
2,12:09,1,10,PIT 8,6,7,Ben Roethlisberger pass complete short left to Heath Miller for 16 yards (tackle by Nate Clements),-0.380,0.540
2,11:29,1,10,PIT 24,6,7,Willie Parker left tackle for -3 yards (tackle by Marques Douglas),0.540,-0.410
2,10:51,2,13,PIT 21,6,7,Willie Parker left tackle for 8 yards (tackle by Shawntae Spencer),-0.410,-0.030
2,10:06,3,5,PIT 29,6,7,Ben Roethlisberger pass complete short left to Hines Ward for 2 yards (tackle by Mark Roman),-0.030,-1.310
2,9:30,4,3,PIT 31,6,7,"Daniel Sepulveda punts 37 yards, returned by Brandon Williams for no gain",-1.310,-1.070
2,9:22,1,10,SFO 32,6,7,Frank Gore up the middle for 5 yards (tackle by Casey Hampton and Larry Foote),1.070,1.200
2,8:45,2,5,SFO 37,6,7,Alex Smith pass incomplete short right intended for Delanie Walker (defended by James Farrior),1.200,0.500
2,8:40,3,5,SFO 37,6,7,Alex Smith pass incomplete short left intended for Vernon Davis,0.500,-0.910
2,8:31,4,5,SFO 37,6,7,"Andy Lee punts 48 yards, fair catch by Allen Rossum. Penalty on Jeff Ulbrich: Illegal Formation (Offsetting), Penalty on Arnold Harrison: Offensive Holding (Offsetting) (no play)",-0.910,-0.910
2,8:16,4,5,SFO 37,6,7,"Andy Lee punts 63 yards, touchback",-0.910,-0.280
2,8:16,1,10,PIT 20,6,7,Cedrick Wilson left end for no gain (tackle by Nate Clements),0.280,-0.270
2,7:30,2,10,PIT 20,6,7,Willie Parker right end for 23 yards (tackle by Patrick Willis),-0.270,1.800
2,6:57,1,10,PIT 43,6,7,"Najeh Davenport right guard for 2 yards (tackle by Patrick Willis). Penalty on Marvel Smith: Illegal Formation, 5 yards (no play)",1.800,1.470
2,6:30,1,15,PIT 38,6,7,Willie Parker up the middle for 2 yards (tackle by Derek Smith),1.470,0.850
2,5:48,2,13,PIT 40,6,7,"Ben Roethlisberger pass incomplete short left intended for Santonio Holmes. Penalty on Nate Clements: Defensive Holding, 5 yards (no play)",0.850,1.930
2,5:43,1,10,PIT 45,6,7,Ben Roethlisberger pass complete deep middle to Heath Miller for 20 yards (tackle by Mark Roman),1.930,3.250
2,5:01,1,10,SFO 35,6,7,Ben Roethlisberger sacked by Michael Lewis and Marques Douglas for -8 yards,3.250,1.620
2,4:23,2,18,SFO 43,6,7,Willie Parker left tackle for 17 yards (tackle by Patrick Willis),1.620,3.200
2,3:37,3,1,SFO 26,6,7,Najeh Davenport up the middle for 3 yards (tackle by Derek Smith and Patrick Willis),3.200,4.040
2,2:57,1,10,SFO 23,6,7,Willie Parker right guard for 3 yards (tackle by Tully Banta-Cain),4.040,3.900
2,2:21,2,7,SFO 20,6,7,Willie Parker left guard for 5 yards (tackle by Aubrayo Franklin and Hannibal Navies),3.900,4.050
2,2:00,3,2,SFO 15,6,7,Hines Ward for 7 yards (tackle by Marcus Hudson and Michael Lewis),4.050,5.370
2,1:22,1,8,SFO 8,6,7,Ben Roethlisberger pass complete short right to Carey Davis for -1 yards (tackle by Nate Clements),5.370,4.380
2,0:42,2,9,SFO 9,6,13,"Ben Roethlisberger pass complete short right to Jerame Tuman for 9 yards, touchdown",4.380,7.000
2,,,,SFO 2,6,14,Jeff Reed kicks extra point good,0.000,0.000
2,,,,PIT 30,6,14,"Jeff Reed kicks off 54 yards, returned by Delanie Walker for 12 yards (tackle by Allen Rossum)",0.000,0.810
2,0:30,1,10,SFO 28,6,14,Alex Smith pass complete short right to Vernon Davis for 13 yards (tackle by Ryan Clark),0.810,1.660
2,0:24,,,,6,14,Timeout #1 by San Francisco 49ers,0.000,1.660
2,0:24,1,10,SFO 41,6,14,Alex Smith pass incomplete short right intended for Maurice Hicks (defended by James Farrior),1.660,1.120
2,0:18,2,10,SFO 41,6,14,Alex Smith pass incomplete short right intended for Darrell Jackson,1.120,0.430
2,0:12,3,10,SFO 41,6,14,Alex Smith pass incomplete deep middle intended for Darrell Jackson,0.430,-0.650
2,0:05,,,,6,14,Timeout #2 by San Francisco 49ers,0.000,-0.650
2,0:05,4,10,SFO 41,6,14,"Andy Lee punts 59 yards, touchback",-0.650,1.660
Quarter,Time,Down,ToGo,Location,SFO,PIT,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,SFO 30,6,14,"Joe Nedney kicks off 74 yards, touchback",0.000,0.280
3,15:00,1,10,PIT 20,6,14,Willie Parker left guard for 5 yards (tackle by Marques Douglas and Mark Roman),0.280,0.410
3,14:25,2,5,PIT 25,6,14,Ben Roethlisberger right guard for 18 yards (tackle by Derek Smith and Hannibal Navies),0.410,1.800
3,13:50,1,10,PIT 43,6,14,Willie Parker left tackle for 5 yards (tackle by Aubrayo Franklin and Bryant Young),1.800,1.930
3,13:13,2,5,PIT 48,6,14,Willie Parker right guard for 5 yards (tackle by Michael Lewis and Patrick Willis),1.930,2.460
3,12:30,1,10,SFO 47,6,14,Najeh Davenport left tackle for -2 yards (tackle by Marques Douglas),2.460,1.640
3,11:48,2,12,SFO 49,6,14,Willie Parker left guard for 2 yards (tackle by Walt Harris),1.640,1.220
3,11:02,3,10,SFO 47,6,14,Ben Roethlisberger pass complete deep left to Heath Miller for 29 yards (tackle by Patrick Willis). Penalty on Marcus Hudson: Illegal Contact (Declined),1.220,4.370
3,10:24,1,10,SFO 18,6,14,Ben Roethlisberger pass incomplete short right intended for Heath Miller,4.370,3.800
,,,,,,,"SFO challenged the pass completion ruling, and the original play was overturned.",,
3,9:55,2,10,SFO 18,6,14,Ben Roethlisberger pass incomplete short middle intended for Hines Ward (defended by Patrick Willis),3.800,3.050
3,9:50,3,10,SFO 18,6,14,Ben Roethlisberger pass incomplete short left intended for Hines Ward,3.050,2.250
3,9:45,4,10,SFO 18,6,17,Jeff Reed 36 yard field goal good,2.250,3.000
3,,,,PIT 30,6,17,"Jeff Reed kicks off 70 yards, returned by Maurice Hicks for 22 yards (tackle by Carey Davis)",0.000,0.410
3,9:34,1,10,SFO 22,6,17,Frank Gore up the middle for 11 yards (tackle by Troy Polamalu and Larry Foote),0.410,1.140
3,8:56,1,10,SFO 33,6,17,Alex Smith pass complete short right to Delanie Walker for 13 yards (tackle by Ike Taylor),1.140,1.990
3,8:23,1,10,SFO 46,6,17,Arnaz Battle left end for 8 yards (tackle by Troy Polamalu),1.990,2.530
3,7:46,2,2,PIT 46,6,17,Frank Gore right tackle for 5 yards (tackle by Nick Eason),2.530,2.850
3,7:01,1,10,PIT 41,6,17,Alex Smith pass complete short left to Frank Gore for 7 yards (tackle by Larry Foote),2.850,3.250
3,6:16,2,3,PIT 34,6,17,"Penalty on Casey Hampton: Encroachment, 5 yards (no play)",3.250,3.640
3,5:52,1,10,PIT 29,6,17,Alex Smith sacked by LaMarr Woodley for -3 yards,3.640,2.700
3,5:12,2,13,PIT 32,6,17,Alex Smith pass incomplete short left intended for Delanie Walker,2.700,2.020
3,5:08,,,,6,17,Timeout #1 by San Francisco 49ers,0.000,2.020
3,5:08,3,13,PIT 32,6,17,Alex Smith pass incomplete deep middle intended for Vernon Davis (defended by Troy Polamalu),2.020,1.240
,,,,,,,"SFO challenged the pass completion ruling, and the original play was overturned.",,
3,5:08,4,13,PIT 32,9,17,Joe Nedney 50 yard field goal good,1.240,3.000
3,,,,SFO 30,9,17,"Joe Nedney kicks off 73 yards, returned by Allen Rossum for 22 yards (tackle by Keith Lewis)",0.000,0.150
3,4:41,1,10,PIT 19,9,17,Ben Roethlisberger pass complete short left to Carey Davis for 10 yards (tackle by Mark Roman),0.150,0.870
3,4:03,1,10,PIT 29,9,17,Willie Parker left tackle for 1 yard (tackle by Marques Douglas and Tully Banta-Cain),0.870,0.460
3,3:25,2,9,PIT 30,9,17,Willie Parker right guard for 3 yards (tackle by Aubrayo Franklin and Derek Smith),0.460,0.170
3,2:40,3,6,PIT 33,9,17,Ben Roethlisberger pass complete short right to Santonio Holmes for 14 yards (tackle by Nate Clements),0.170,2.060
3,1:56,1,10,PIT 47,9,17,Ben Roethlisberger pass complete deep right to Santonio Holmes for 17 yards,2.060,3.180
3,1:21,1,10,SFO 36,9,17,Willie Parker up the middle for 3 yards (tackle by Isaac Sopoaga),3.180,3.040
3,0:40,2,7,SFO 33,9,17,Ben Roethlisberger pass incomplete,3.040,2.350
3,0:32,3,7,SFO 33,9,17,Willie Parker left end for 2 yards (tackle by Marques Douglas and Nate Clements),2.350,1.350
Quarter,Time,Down,ToGo,Location,SFO,PIT,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,4,5,SFO 31,9,20,Jeff Reed 49 yard field goal good,1.350,3.000
4,,,,PIT 30,9,20,"Jeff Reed kicks off 74 yards, touchback",0.000,0.280
4,14:55,1,10,SFO 20,9,20,Frank Gore left guard for 1 yard (tackle by James Harrison),0.280,-0.130
4,14:15,2,9,SFO 21,9,20,Alex Smith pass complete short left to Delanie Walker for 3 yards (tackle by James Harrison),-0.130,-0.430
4,13:29,,,,9,20,Timeout #2 by San Francisco 49ers,0.000,-0.430
4,13:29,3,6,SFO 24,9,20,Alex Smith pass complete short right to Arnaz Battle for 11 yards (tackle by Aaron Smith),-0.430,1.270
4,13:15,1,10,SFO 35,9,20,"Penalty on Larry Allen: False Start, 5 yards (no play)",1.270,0.940
4,12:52,1,15,SFO 30,9,20,Alex Smith pass complete short right to Darrell Jackson for 17 yards (tackle by Ike Taylor),0.940,2.060
4,12:02,1,10,SFO 47,9,20,Alex Smith pass complete deep right to Darrell Jackson for 20 yards,2.060,3.380
4,12:02,1,10,PIT 33,9,20,Michael Robinson up the middle for 1 yard (tackle by Travis Kirschke),3.380,2.970
4,11:23,2,9,PIT 32,9,20,Alex Smith pass incomplete deep middle intended for Darrell Jackson,2.970,2.280
4,11:16,3,9,PIT 32,9,20,Alex Smith sacked by James Farrior for -8 yards,2.280,0.590
4,10:44,4,17,PIT 40,9,20,"Andy Lee punts 40 yards, touchback",0.590,-0.280
4,10:39,1,10,PIT 20,9,20,Willie Parker right tackle for 15 yards (tackle by Walt Harris and Michael Lewis),0.280,1.270
4,10:01,1,10,PIT 35,9,20,Ben Roethlisberger pass complete short right to Carey Davis for no gain,1.270,0.720
4,9:20,2,10,PIT 35,9,20,Willie Parker right tackle for 4 yards (tackle by Mark Roman and Derek Smith),0.720,0.560
4,8:32,3,6,PIT 39,9,20,Ben Roethlisberger pass complete short middle to Santonio Holmes for 18 yards (tackle by Shawntae Spencer),0.560,2.720
4,7:48,1,10,SFO 43,9,20,Willie Parker right tackle for 4 yards (tackle by Keith Lewis),2.720,2.720
4,7:09,2,6,SFO 39,9,20,Willie Parker up the middle for 4 yards (tackle by Michael Lewis),2.720,2.540
4,6:24,3,2,SFO 35,9,20,Ben Roethlisberger pass complete short right to Heath Miller for 17 yards (tackle by Michael Lewis),2.540,4.370
4,5:56,1,10,SFO 18,9,20,Willie Parker left end for 1 yard (tackle by Keith Lewis and Nate Clements),4.370,3.940
4,5:11,2,9,SFO 17,9,20,Ben Roethlisberger pass incomplete short middle intended for Nate Washington (defended by Nate Clements),3.940,3.170
4,5:07,3,9,SFO 17,9,20,Ben Roethlisberger pass incomplete short right intended for Cedrick Wilson (defended by Shawntae Spencer),3.170,2.310
4,5:03,4,9,SFO 17,9,23,Jeff Reed 35 yard field goal good,2.310,3.000
4,,,,PIT 30,9,23,"Jeff Reed kicks off 70 yards, returned by Maurice Hicks for 21 yards (tackle by Arnold Harrison)",0.000,0.340
4,4:53,1,10,SFO 21,9,23,Alex Smith pass complete short middle to Arnaz Battle for 16 yards (tackle by Aaron Smith),0.340,1.400
4,4:26,1,10,SFO 37,9,23,Alex Smith pass incomplete short right intended for Delanie Walker,1.400,0.860
4,4:20,2,10,SFO 37,9,23,Alex Smith pass complete short left to Taylor Jacobs for 5 yards (tackle by Bryant McFadden),0.860,0.830
4,4:15,3,5,SFO 42,9,29,"Alex Smith pass incomplete short left intended for Taylor Jacobs is intercepted by Bryant McFadden at SFO-50 and returned for 50 yards, touchdown",0.830,-7.000
4,,,,SFO 2,9,30,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,9,30,"Jeff Reed kicks off 66 yards, returned by Delanie Walker for 30 yards (tackle by Lawrence Timmons)",0.000,1.200
4,3:53,1,10,SFO 34,9,30,Alex Smith pass complete deep left to Darrell Jackson for 20 yards (tackle by Aaron Smith),1.200,2.520
4,3:20,1,10,PIT 46,9,30,Alex Smith left guard for 25 yards (tackle by Tyrone Carter),2.520,4.170
4,2:30,1,10,PIT 21,15,30,"Alex Smith pass complete deep left to Taylor Jacobs for 21 yards, touchdown",4.170,7.000
4,,,,PIT 2,16,30,Joe Nedney kicks extra point good,0.000,0.000
4,,,,SFO 30,16,30,"Joe Nedney kicks onside 16 yards, recovered by Daniel Sepulveda",0.000,2.520
4,2:21,1,10,SFO 46,16,30,Najeh Davenport right guard for 5 yards (tackle by Derek Smith),2.520,2.650
4,2:11,,,,16,30,Timeout #3 by San Francisco 49ers,0.000,2.650
4,2:11,2,5,SFO 41,16,30,Najeh Davenport right guard for 2 yards (tackle by Aubrayo Franklin and Hannibal Navies),2.650,2.210
4,2:00,3,3,SFO 39,16,36,"Najeh Davenport left guard for 39 yards, touchdown",2.210,7.000
4,,,,SFO 2,16,37,Jeff Reed kicks extra point good,0.000,0.000
4,,,,PIT 30,16,37,"Jeff Reed kicks off 69 yards, returned by Delanie Walker for 21 yards (tackle by Lawrence Timmons)",0.000,0.410
4,1:44,1,10,SFO 22,16,37,Alex Smith pass incomplete short right intended for Arnaz Battle,0.410,-0.130
4,1:36,2,10,SFO 22,16,37,Alex Smith pass incomplete short left intended for Michael Robinson. Penalty on Darrell Jackson: Illegal Shift (Declined),-0.130,-0.820
4,1:32,3,10,SFO 22,16,37,Zak Keasey up the middle for 3 yards (tackle by LaMarr Woodley and Clint Kriewaldt),-0.820,-1.700
4,0:46,4,7,SFO 25,16,37,Zak Keasey right guard for 1 yard (tackle by Travis Kirschke),-1.700,-3.840
4,0:39,1,10,SFO 26,16,37,Charlie Batch kneels for no gain,3.840,3.300
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
