Unnamed: 0,ATL,PHI
First Downs,24,20
Rush-Yds-TDs,37-146-0,24-92-1
Cmp-Att-Yd-TD-INT,22-29-262-3-0,21-35-191-1-0
Sacked-Yards,2-16,3-13
Net Pass Yards,246,178
Total Yards,392,270
Fumbles-Lost,1-0,2-0
Turnovers,0,0
Penalties-Yards,6-40,6-57
Third Down Conv.,7-13,6-13
Fourth Down Conv.,0-1,1-3
Time of Possession,32:55,27:05
