Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss and deferred, Falcons to receive the opening kickoff.",,
1,15:00,,,PHI 35,0,0,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,ATL 20,0,0,Michael Turner right tackle for 2 yards (tackle by Casey Matthews),0.280,0.000
1,14:28,2,8,ATL 22,0,0,Matt Ryan pass incomplete short middle intended for Michael Turner (defended by Fletcher Cox),0.000,-0.690
1,14:23,3,8,ATL 22,0,0,Matt Ryan pass complete short left to Drew Davis for 15 yards (tackle by Nate Allen),-0.690,1.400
1,14:05,1,10,ATL 37,0,0,"Penalty on Todd McClure: False Start, 5 yards (no play)",1.400,1.070
1,13:40,1,15,ATL 32,0,0,Michael Turner up the middle for -2 yards (tackle by Derek Landri),1.070,-0.090
1,13:23,2,17,ATL 30,0,0,Michael Turner up the middle for 7 yards (tackle by Nate Allen),-0.090,0.170
1,13:00,3,10,ATL 37,0,0,"Matt Ryan pass incomplete. Penalty on Jason Babin: Defensive Holding, 5 yards (no play)",0.170,1.730
1,12:26,1,10,ATL 42,0,0,Jacquizz Rodgers left guard for 5 yards (tackle by Nnamdi Asomugha),1.730,1.860
1,11:53,2,5,ATL 47,0,0,Jacquizz Rodgers up the middle for 3 yards (tackle by Trent Cole),1.860,1.550
1,11:09,3,2,,0,0,Matt Ryan pass complete short right to Roddy White for 10 yards (tackle by Brandon Hughes),1.550,2.920
1,10:31,1,10,PHI 40,0,0,Matt Ryan pass complete short right to Michael Turner for 6 yards (tackle by Cedric Thornton),2.920,3.180
1,10:00,2,4,PHI 34,0,0,Michael Turner right end for 3 yards (tackle by Brandon Graham),3.180,2.870
1,9:27,3,1,PHI 31,0,0,Michael Turner right end for 1 yard (tackle by Brandon Graham),2.870,3.580
1,8:45,1,10,PHI 30,0,0,Jacquizz Rodgers right end for 1 yard (tackle by Brandon Graham),3.580,3.170
1,8:11,2,9,PHI 29,0,0,Matt Ryan pass complete short right to Tony Gonzalez for 11 yards (tackle by Nate Allen),3.170,4.370
1,7:44,1,10,PHI 18,0,0,Jacquizz Rodgers up the middle for -2 yards (tackle by Cullen Jenkins),4.370,3.560
1,7:02,2,12,PHI 20,0,0,Matt Ryan pass complete short left to Jason Snelling for 5 yards (tackle by Fletcher Cox),3.560,3.460
1,6:21,3,7,PHI 15,6,0,"Matt Ryan pass complete short right to Drew Davis for 15 yards, touchdown",3.460,7.000
1,6:21,,,PHI 2,7,0,Matt Bryant kicks extra point good,0.000,0.000
1,6:16,,,ATL 35,7,0,"Matt Bosher kicks off 67 yards, returned by Brandon Boykin for 19 yards (tackle by Robert McClain)",0.000,-0.060
1,6:09,1,10,PHI 17,7,0,Michael Vick pass incomplete short left intended for Brent Celek,-0.060,-0.580
1,6:05,2,10,PHI 17,7,0,LeSean McCoy left end for -1 yards (tackle by Thomas DeCoud),-0.580,-1.410
1,5:25,3,11,PHI 16,7,0,Michael Vick sacked by Thomas DeCoud for -2 yards,-1.410,-2.470
1,5:01,4,13,PHI 14,7,0,"Mat McBriar punts 48 yards, returned by Dominique Franks for 11 yards (tackle by Kurt Coleman)",-2.470,-2.190
1,4:50,1,10,ATL 49,7,0,Matt Ryan pass complete short right to Jacquizz Rodgers for 5 yards (tackle by Darryl Tapp),2.190,2.320
1,4:18,2,5,PHI 46,7,0,Michael Turner right tackle for 1 yard (tackle by DeMeco Ryans),2.320,1.750
1,3:35,3,4,PHI 45,7,0,Matt Ryan pass complete short right to Julio Jones for 7 yards (tackle by Dominique Rodgers-Cromartie),1.750,3.050
1,3:08,1,10,PHI 38,7,0,Michael Turner up the middle for 6 yards (tackle by Nate Allen),3.050,3.320
1,2:38,2,4,PHI 32,7,0,"Matt Ryan pass incomplete deep right intended for Julio Jones. Penalty on Dominique Rodgers-Cromartie: Defensive Pass Interference, 22 yards, Penalty on Dominique Rodgers-Cromartie: Defensive Holding (Declined) (no play)",3.320,4.910
1,2:33,1,10,PHI 10,7,0,Michael Turner up the middle for no gain (tackle by Brandon Graham),4.910,4.190
1,1:57,2,10,PHI 10,7,0,Matt Ryan pass complete short right to Jacquizz Rodgers for 3 yards (tackle by DeMeco Ryans),4.190,3.810
1,1:19,3,7,PHI 7,7,0,"Matt Ryan pass incomplete short middle intended for Roddy White. Penalty on Mychal Kendricks: Defensive Pass Interference, 1 yards (no play)",3.810,5.830
1,1:10,1,6,PHI 6,7,0,Michael Turner up the middle for 3 yards (tackle by Brandon Boykin),5.830,5.530
1,0:36,2,3,PHI 3,13,0,"Matt Ryan pass complete short right to Jason Snelling for 3 yards, touchdown",5.530,7.000
1,0:36,,,PHI 2,14,0,Matt Bryant kicks extra point good,0.000,0.000
1,0:32,,,ATL 35,14,0,"Matt Bosher kicks off 59 yards, returned by Brandon Boykin for 28 yards (tackle by Tommy Gallarda)",0.000,1.200
1,0:24,1,10,PHI 34,14,0,Michael Vick pass complete short middle to Jason Avant for 8 yards (tackle by Christopher Owens),1.200,1.740
Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,2,PHI 42,14,0,Michael Vick pass incomplete deep left intended for DeSean Jackson (defended by Robert McClain),1.740,1.030
2,14:54,3,2,PHI 42,14,0,Michael Vick pass complete short left to DeSean Jackson for 3 yards (tackle by Thomas DeCoud),1.030,1.930
2,14:19,1,10,PHI 45,14,0,LeSean McCoy left guard for 1 yard (tackle by Kroy Biermann),1.930,1.520
2,13:32,2,9,PHI 46,14,0,Michael Vick pass complete short right to Jeremy Maclin for 5 yards,1.520,1.490
2,13:14,3,4,ATL 49,14,0,Michael Vick right end for 7 yards (tackle by Stephen Nicholas),1.490,2.790
2,12:30,1,10,ATL 42,14,0,Michael Vick pass complete short left to Brent Celek for 2 yards (tackle by Kroy Biermann and Stephen Nicholas),2.790,2.510
2,11:57,2,8,ATL 40,14,0,Michael Vick pass complete short left to Jeremy Maclin for 12 yards (tackle by Kroy Biermann),2.510,3.710
2,11:23,1,10,ATL 28,14,0,LeSean McCoy right end for 2 yards (tackle by John Abraham),3.710,3.440
2,10:48,2,8,ATL 26,14,0,"Penalty on John Abraham: Neutral Zone Infraction, 5 yards (no play)",3.440,4.110
2,10:37,2,3,ATL 21,14,0,LeSean McCoy left end for 7 yards (tackle by Thomas DeCoud),4.110,4.650
2,10:01,1,10,ATL 14,14,0,LeSean McCoy right end for 7 yards (tackle by Thomas DeCoud),4.650,5.280
2,9:15,2,3,ATL 7,14,0,"Bryce Brown right end for 5 yards (tackle by William Moore). Bryce Brown fumbles (forced by William Moore), recovered by Bryce Brown at ATL-2",5.280,0.000
2,8:23,,,,14,0,Timeout #1 by Philadelphia Eagles,0.000,6.740
2,8:23,1,2,ATL 2,14,6,"LeSean McCoy right end for 2 yards, touchdown",6.740,7.000
2,8:23,,,ATL 2,14,7,Alex Henery kicks extra point good,0.000,0.000
2,8:18,,,PHI 35,14,7,"Alex Henery kicks off 62 yards, returned by Jacquizz Rodgers for 24 yards (tackle by David Sims)",0.000,0.740
2,8:13,1,10,ATL 27,14,7,Matt Ryan pass complete short right to Roddy White for 14 yards (tackle by DeMeco Ryans),0.740,1.660
2,7:51,1,10,ATL 41,14,7,"Matt Ryan pass complete short left to Jacquizz Rodgers for no gain. Penalty on ATL: Illegal Formation, 5 yards (no play)",1.660,1.330
2,7:24,1,15,ATL 36,14,7,Michael Turner up the middle for 1 yard (tackle by Kurt Coleman),1.330,0.580
2,6:41,2,14,ATL 37,20,7,"Matt Ryan pass complete short left to Julio Jones for 63 yards, touchdown",0.580,7.000
2,6:41,,,PHI 2,21,7,Matt Bryant kicks extra point good,0.000,0.000
2,6:33,,,ATL 35,21,7,"Matt Bosher kicks off 65 yards, touchback",0.000,0.280
2,6:33,1,10,PHI 20,21,7,Michael Vick pass complete short left to DeSean Jackson for 12 yards,0.280,0.000
2,5:55,,,,21,7,Timeout #2 by Philadelphia Eagles,0.000,1.070
2,5:55,1,10,PHI 32,21,7,LeSean McCoy up the middle for 1 yard (tackle by Stephen Nicholas),1.070,0.660
2,5:20,2,9,PHI 33,21,7,Michael Vick pass complete short right to Jason Avant for 6 yards (tackle by Robert McClain),0.660,0.760
2,4:46,3,3,PHI 39,21,7,Michael Vick right tackle for 4 yards (tackle by Sean Weatherspoon),0.760,1.800
2,4:11,1,10,PHI 43,21,7,Michael Vick pass complete short right to Jeremy Maclin for 8 yards (tackle by Thomas DeCoud),1.800,2.330
2,3:36,2,2,ATL 49,21,7,LeSean McCoy left guard for no gain (tackle by Sean Weatherspoon),2.330,1.620
2,2:59,3,2,ATL 49,21,7,Michael Vick pass incomplete short middle intended for Jason Avant (defended by Christopher Owens),1.620,0.000
2,2:56,4,2,ATL 49,21,7,"Mat McBriar punts 40 yards, fair catch by Dominique Franks",0.000,0.380
2,2:48,1,10,ATL 9,21,7,Michael Turner left guard for 4 yards (tackle by Kurt Coleman),-0.380,-0.480
2,2:12,2,6,ATL 13,21,7,Matt Ryan pass complete short left to Tony Gonzalez for 7 yards (tackle by Nate Allen),-0.480,0.280
2,2:00,1,10,ATL 20,21,7,Matt Ryan right end for 10 yards (tackle by Kurt Coleman),0.280,0.940
2,1:40,1,10,ATL 30,21,7,Jacquizz Rodgers up the middle for 10 yards (tackle by Jason Babin),0.940,1.600
2,1:27,1,10,ATL 40,21,7,Jacquizz Rodgers up the middle for 1 yard (tackle by Fletcher Cox),1.600,1.190
2,1:03,2,9,ATL 41,21,7,Matt Ryan pass complete short right to Tony Gonzalez for 11 yards (tackle by Mychal Kendricks). Penalty on Mychal Kendricks: Defensive Holding (Declined),1.190,2.390
2,0:57,1,10,PHI 48,21,7,Matt Ryan pass incomplete short right intended for Roddy White (defended by Dominique Rodgers-Cromartie),2.390,1.850
2,0:53,2,10,PHI 48,21,7,Matt Ryan pass complete short left to Julio Jones for 6 yards (tackle by Brandon Boykin),1.850,1.950
2,0:47,3,4,PHI 42,21,7,Matt Ryan pass complete short right to Roddy White for 14 yards (tackle by Nnamdi Asomugha),1.950,0.000
2,0:40,,,,21,7,Timeout #1 by Atlanta Falcons,0.000,3.710
2,0:40,1,10,PHI 28,21,7,Matt Ryan pass complete short right to Jacquizz Rodgers for 2 yards (tackle by Nate Allen),3.710,3.440
2,0:18,2,8,PHI 26,21,7,Matt Ryan pass incomplete short right intended for Tony Gonzalez (defended by Mychal Kendricks),3.440,2.740
2,0:13,3,8,PHI 26,21,7,Matt Ryan right end for 1 yard (tackle by Cullen Jenkins),2.740,0.000
2,0:06,,,,21,7,Timeout #2 by Atlanta Falcons,0.000,1.800
2,0:06,4,7,PHI 25,24,7,Matt Bryant 43 yard field goal good,1.800,3.000
2,0:02,,,ATL 35,24,7,Matt Bosher kicks off 35 yards,0.000,0.940
2,0:00,1,10,PHI 30,24,7,LeSean McCoy right tackle for 5 yards (tackle by Vance Walker),0.940,1.070
Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,ATL 35,24,7,"Matt Bosher kicks off 68 yards, returned by Brandon Boykin for 20 yards (tackle by Kevin Cone)",0.000,-0.060
3,14:55,1,10,PHI 17,24,7,Michael Vick pass incomplete short right intended for Jeremy Maclin (defended by Asante Samuel),-0.060,-0.580
3,14:50,2,10,PHI 17,24,7,Michael Vick pass complete short right to DeSean Jackson for 12 yards (tackle by Dunta Robinson),-0.580,0.870
3,14:16,1,10,PHI 29,24,7,Michael Vick right end for 4 yards (tackle by Kroy Biermann),0.870,0.870
3,13:38,2,6,PHI 33,24,7,Michael Vick pass complete short middle to Brent Celek for 16 yards (tackle by Stephen Nicholas),0.870,2.190
3,12:51,1,10,PHI 49,24,7,Michael Vick pass complete short right to DeSean Jackson for 32 yards (tackle by Robert McClain),2.190,4.310
3,12:24,1,10,ATL 19,24,7,Michael Vick up the middle for 4 yards (tackle by Todd McClure),4.310,4.350
3,11:32,2,6,ATL 15,24,7,Michael Vick pass incomplete short middle intended for Brent Celek (defended by William Moore),4.350,3.580
3,11:28,3,6,ATL 15,24,7,Michael Vick pass incomplete short left intended for DeSean Jackson,3.580,2.470
3,11:23,4,6,ATL 15,24,10,Alex Henery 33 yard field goal good,2.470,3.000
3,11:20,,,PHI 35,24,10,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
3,11:20,1,10,ATL 20,24,10,Michael Turner up the middle for 3 yards (tackle by Nate Allen and DeMeco Ryans),0.280,0.140
3,10:45,2,7,ATL 23,24,10,Julio Jones right end for 9 yards (tackle by Dominique Rodgers-Cromartie),0.140,1.070
3,10:19,1,10,ATL 32,24,10,Matt Ryan pass incomplete short right intended for Lousaka Polite,1.070,0.530
3,10:14,2,10,ATL 32,24,10,Matt Ryan pass complete short left to Julio Jones for 37 yards (tackle by Nate Allen),0.530,3.510
3,9:51,1,10,PHI 31,24,10,Michael Turner left end for 11 yards (tackle by Akeem Jordan),3.510,4.240
3,9:08,1,10,PHI 20,24,10,Matt Ryan pass incomplete short right intended for Lousaka Polite,4.240,3.690
3,9:03,2,10,PHI 20,24,10,Matt Ryan for 7 yards,3.690,0.000
3,8:30,,,,24,10,Timeout #1 by Atlanta Falcons,0.000,4.100
3,8:30,3,3,PHI 13,24,10,Matt Ryan pass complete short middle to Jason Snelling for 8 yards (tackle by Mychal Kendricks),4.100,6.060
3,8:04,1,5,PHI 5,24,10,Michael Turner up the middle for -1 yards (tackle by Fletcher Cox),6.060,4.950
3,7:30,2,6,PHI 6,24,10,"Matt Ryan pass incomplete short right intended for Julio Jones. Penalty on Julio Jones: Illegal Touch Pass, 5 yards (no play)",4.950,4.020
