Unnamed: 0,MIN,GNB
First Downs,22,19
Rush-Yds-TDs,20-93-0,15-40-1
Cmp-Att-Yd-TD-INT,34-50-382-3-0,28-39-347-4-0
Sacked-Yards,4-29,4-39
Net Pass Yards,353,308
Total Yards,446,348
Fumbles-Lost,2-2,1-0
Turnovers,2,0
Penalties-Yards,8-70,3-21
Third Down Conv.,5-15,6-13
Fourth Down Conv.,3-3,0-0
Time of Possession,31:01,28:59
