Quarter,Time,Tm,Detail,MIN,GNB
1.0,7:13,Packers,Jordy Nelson 21 yard pass from Aaron Rodgers (Mason Crosby kick),0,7
,3:37,Vikings,Kai Forbath 22 yard field goal,3,7
,1:49,Packers,Davante Adams 20 yard pass from Aaron Rodgers (Mason Crosby kick),3,14
2.0,12:30,Vikings,Kai Forbath 26 yard field goal,6,14
,8:11,Packers,Jordy Nelson 2 yard pass from Aaron Rodgers (Mason Crosby kick),6,21
,7:24,Vikings,Adam Thielen 71 yard pass from Sam Bradford (Kai Forbath kick),13,21
,0:24,Packers,Aaron Rodgers 6 yard rush (Mason Crosby kick),13,28
4.0,14:55,Packers,Mason Crosby 48 yard field goal,13,31
,9:02,Packers,Richard Rodgers 13 yard pass from Aaron Rodgers (Mason Crosby kick),13,38
,4:20,Vikings,Stefon Diggs 3 yard pass from Sam Bradford (Kai Forbath kick failed),19,38
,0:32,Vikings,Adam Thielen 8 yard pass from Sam Bradford (run failed),25,38
