Quarter,Time,Tm,Detail,MIA,WAS
1.0,9:40,Dolphins,Tyreek Hill 78 yard pass from Tua Tagovailoa (Jason Sanders kick),7,0
,3:39,Dolphins,Jason Sanders 49 yard field goal,10,0
,0:55,Dolphins,Andrew Van Ginkel 33 yard interception return (Jason Sanders kick),17,0
2.0,11:18,Commanders,Sam Howell 1 yard rush (Joey Slye kick),17,7
,9:23,Dolphins,Tyreek Hill 60 yard pass from Tua Tagovailoa (Jason Sanders kick),24,7
,0:20,Dolphins,Raheem Mostert 1 yard rush (Jason Sanders kick),31,7
3.0,9:36,Dolphins,De'Von Achane 4 yard rush (Jason Sanders kick),38,7
,4:31,Commanders,Sam Howell 13 yard rush (Logan Thomas pass from Sam Howell),38,15
4.0,1:57,Dolphins,De'Von Achane 2 yard rush (Jason Sanders kick),45,15
