Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Dolphins won the coin toss and deferred, Commanders to receive the opening kickoff.",,
1,15:00,,,MIA 35,0,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Brian Robinson up the middle for 2 yards (tackle by David Long and Zach Sieler),0.610,0.330
1,14:22,2,8,WAS 27,0,0,Sam Howell pass incomplete short left intended for Jahan Dotson,0.330,-0.360
1,14:19,3,8,WAS 27,0,0,"Sam Howell pass complete short right to Jahan Dotson for 12 yards MIA challenged the runner was in bounds ruling, and the play was upheld.",-0.360,1.530
1,13:52,1,10,WAS 39,0,0,Sam Howell pass complete short middle to Curtis Samuel for 5 yards (tackle by Jerome Baker),1.530,1.660
1,13:14,2,5,WAS 44,0,0,Antonio Gibson right guard for 9 yards (tackle by Jerome Baker and Xavien Howard),1.660,2.460
1,12:30,1,10,MIA 47,0,0,Antonio Gibson left end for no gain (tackle by Kader Kohou and Zach Sieler),2.460,1.910
1,11:49,2,10,MIA 47,0,0,Sam Howell pass complete short left to Curtis Samuel for 2 yards (tackle by Brandon Jones),1.910,1.490
1,11:05,3,8,MIA 45,0,0,Sam Howell pass incomplete short left intended for John Bates,1.490,0.270
1,11:02,4,8,MIA 45,0,0,"Tress Way punts 31 yards, fair catch by Braxton Berrios at MIA-14",0.270,0.280
1,10:56,1,10,MIA 14,0,0,Tua Tagovailoa pass complete short right to Jaylen Waddle for 5 yards (tackle by Benjamin St-Juste),-0.280,-0.040
1,10:22,2,5,MIA 19,0,0,Raheem Mostert right tackle for 3 yards (tackle by Cody Barton),-0.040,-0.440
1,9:37,3,2,MIA 22,6,0,"Tua Tagovailoa pass complete deep left to Tyreek Hill for 78 yards, touchdown",-0.440,7.000
1,9:28,,,WAS 15,7,0,Jason Sanders kicks extra point good,0.000,0.000
1,9:28,,,MIA 35,7,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,9:28,1,10,WAS 25,7,0,Sam Howell scrambles right end for 3 yards (tackle by Jerome Baker),0.610,0.470
1,8:51,2,7,WAS 28,7,0,Sam Howell pass incomplete short right intended for Logan Thomas,0.470,-0.230
1,8:43,3,7,WAS 28,7,0,Sam Howell sacked by and Bradley Chubb for -7 yards and Zach Sieler for -7 yards,-0.230,-1.960
1,8:04,4,14,WAS 21,7,0,"Tress Way punts 51 yards, returned by Braxton Berrios for 2 yards (tackle by Dyami Brown)",-1.960,-0.940
1,7:54,1,10,MIA 30,7,0,Tua Tagovailoa pass incomplete short left intended for Tyreek Hill,0.940,0.390
1,7:51,2,10,MIA 30,7,0,Tua Tagovailoa pass complete short middle to De'Von Achane for 6 yards (tackle by Khaleke Hudson and Percy Butler),0.390,0.500
1,7:25,3,4,MIA 36,7,0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 16 yards (tackle by Terrell Burgess),0.500,2.390
1,6:42,1,10,WAS 48,7,0,Raheem Mostert left end for 12 yards (tackle by Terrell Burgess),2.390,3.180
1,6:00,1,10,WAS 36,7,0,Raheem Mostert left end for -4 yards (tackle by Jamin Davis),3.180,2.100
1,5:20,2,14,WAS 40,7,0,Tua Tagovailoa pass complete short left to Alec Ingold for -3 yards (tackle by Jamin Davis),2.100,1.020
1,4:35,3,17,WAS 43,7,0,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 12 yards (tackle by Kamren Curl),1.020,1.350
1,3:43,4,5,WAS 31,10,0,Jason Sanders 49 yard field goal good,1.350,3.000
1,3:39,,,MIA 35,10,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,3:39,1,10,WAS 25,10,0,Brian Robinson up the middle for 4 yards (tackle by Christian Wilkins and DeShon Elliott),0.610,0.600
1,3:03,2,6,WAS 29,10,0,Brian Robinson left tackle for 3 yards (tackle by Jerome Baker),0.600,0.300
1,2:23,3,3,WAS 32,10,0,Sam Howell pass incomplete short middle intended for Terry McLaurin,0.300,-1.240
1,2:18,4,3,WAS 32,10,0,"Tress Way punts 49 yards, fair catch by Braxton Berrios at MIA-19",-1.240,-0.150
1,2:12,1,10,MIA 19,10,0,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle,0.150,-0.390
1,2:02,2,10,MIA 19,10,0,De'Von Achane right end for -7 yards (tackle by K.J. Henry),-0.390,-2.240
1,1:22,3,17,MIA 12,10,0,"Tua Tagovailoa pass complete short left to Tyreek Hill for -6 yards (tackle by Daron Payne). Penalty on Liam Eichenberg: Ineligible Downfield Pass, 5 yards (declined)",-2.240,-2.490
1,1:08,4,23,MIA 6,10,0,"Jake Bailey punts 46 yards, fair catch by Jamison Crowder at WAS-48. Penalty on Dyami Brown: Offensive Holding, 10 yards (accepted)",-2.490,-1.470
1,1:01,1,10,WAS 38,16,0,"Sam Howell pass short right intended for Jahan Dotson is intercepted by Andrew Van Ginkel at WAS-33 and returned for 33 yards, touchdown",1.470,-7.000
1,0:55,,,WAS 15,17,0,Jason Sanders kicks extra point good,0.000,0.000
1,0:55,,,MIA 35,17,0,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
1,0:55,1,10,WAS 25,17,0,Brian Robinson right tackle for 8 yards (tackle by Brandon Jones and Kader Kohou),0.610,1.140
1,0:14,2,2,WAS 33,17,0,Brian Robinson right tackle for 7 yards (tackle by DeShon Elliott and Bradley Chubb),1.140,1.600
Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,WAS 40,17,0,Sam Howell sacked by Emmanuel Ogbah for -6 yards,1.600,0.240
2,14:18,2,16,WAS 34,17,0,Brian Robinson right end for 29 yards (tackle by Brandon Jones and DeShon Elliott),0.240,3.120
2,13:27,1,10,MIA 37,17,0,Antonio Gibson right end for 3 yards (tackle by Andrew Van Ginkel),3.120,2.980
2,12:52,2,7,MIA 34,17,0,Sam Howell pass incomplete deep right intended for Terry McLaurin (defended by Xavien Howard),2.980,2.280
2,12:43,3,7,MIA 34,17,0,Sam Howell pass complete deep right to Curtis Samuel for 33 yards (tackle by Brandon Jones),2.280,6.970
2,12:21,1,1,MIA 1,17,0,Brian Robinson left guard for no gain (tackle by Bradley Chubb and Duke Riley),6.970,5.910
2,11:34,2,1,MIA 1,17,0,"Sam Howell pass complete to Dyami Brown for no gain, touchdown Replay Assistant challenged the pass completion ruling, and the original play was overturned. Sam Howell pass complete short right to Dyami Brown for no gain (tackle by Andrew Van Ginkel)",5.910,5.170
2,11:20,3,1,MIA 1,17,6,"Sam Howell up the middle for 1 yard, touchdown",5.170,7.000
2,11:18,,,MIA 15,17,7,Joey Slye kicks extra point good,0.000,0.000
2,11:18,,,WAS 35,17,7,"Penalty on Justin Bethel: Defensive Offside, 5 yards (accepted) (no play)",0.000,0.000
2,11:18,,,WAS 40,17,7,"Joey Slye kicks off 60 yards, touchback.",0.000,0.610
2,11:18,1,10,MIA 25,17,7,Raheem Mostert right tackle for 6 yards (tackle by John Ridgeway),0.610,0.870
2,10:49,2,4,MIA 31,17,7,Tyreek Hill right end for 6 yards (tackle by Benjamin St-Juste),0.870,1.400
2,10:13,1,10,MIA 37,17,7,Tua Tagovailoa pass incomplete deep middle intended for Jaylen Waddle,1.400,0.860
2,10:05,2,10,MIA 37,17,7,Tua Tagovailoa pass complete short middle to De'Von Achane for 3 yards (tackle by Kendall Fuller),0.860,0.560
2,9:22,3,7,MIA 40,23,7,"Tua Tagovailoa pass complete deep right to Tyreek Hill for 60 yards, touchdown",0.560,7.000
2,9:14,,,WAS 15,24,7,Jason Sanders kicks extra point good,0.000,0.000
2,9:14,,,MIA 35,24,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,9:14,1,10,WAS 25,24,7,Sam Howell scrambles right end for 4 yards (tackle by Duke Riley),0.610,0.600
2,8:36,2,6,WAS 29,24,7,Chris Rodriguez left guard for 3 yards (tackle by Raekwon Davis and Christian Wilkins),0.600,0.300
2,7:53,,,,,,Timeout #1 by Washington Commanders,,
2,7:53,3,3,WAS 32,24,7,Sam Howell pass complete deep left to Curtis Samuel for 25 yards (tackle by Kader Kohou),0.300,2.720
2,7:06,1,10,MIA 43,24,7,Sam Howell pass incomplete short left intended for Jahan Dotson,2.720,2.180
2,7:04,2,10,MIA 43,24,7,Sam Howell sacked by Zach Sieler for -7 yards,2.180,0.560
2,6:24,3,17,WAS 50,24,7,"Sam Howell pass complete short left to Antonio Gibson for -6 yards. Antonio Gibson fumbles (forced by Duke Riley), recovered by Antonio Gibson at WAS-44 (tackle by Duke Riley)",0.560,-0.460
2,6:00,4,23,WAS 44,24,7,Tress Way punts 32 yards out of bounds,-0.460,-0.540
2,5:55,1,10,MIA 24,24,7,Raheem Mostert left end for 9 yards (tackle by Kamren Curl),0.540,1.210
2,5:28,2,1,MIA 33,24,7,Raheem Mostert right end for 6 yards (tackle by Jamin Davis),1.210,1.530
2,4:43,1,10,MIA 39,24,7,Raheem Mostert left end for -1 yards (tackle by Casey Toohill),1.530,0.850
2,3:57,2,11,MIA 38,24,7,De'Von Achane left end for 5 yards (tackle by Kamren Curl),0.850,0.830
2,3:18,3,6,MIA 43,24,7,Tua Tagovailoa pass complete deep middle to Tyreek Hill for 20 yards (tackle by Percy Butler),0.830,3.120
2,2:41,1,10,WAS 37,24,7,De'Von Achane left end for 3 yards (tackle by Jalen Harris),3.120,2.980
2,2:00,2,7,WAS 34,24,7,"Tua Tagovailoa pass incomplete deep left intended for Jaylen Waddle. Penalty on Benjamin St-Juste: Defensive Pass Interference, 16 yards (accepted) (no play)",2.980,4.370
2,1:54,1,10,WAS 18,24,7,Tyreek Hill right end for -10 yards (tackle by Quan Martin),4.370,2.480
2,1:42,,,,,,Timeout #2 by Washington Commanders,,
2,1:42,2,20,WAS 28,24,7,Tua Tagovailoa pass complete short right to Raheem Mostert for 8 yards (tackle by Cody Barton and Quan Martin),2.480,2.870
2,1:33,,,,,,Timeout #3 by Washington Commanders,,
2,1:33,3,12,WAS 20,24,7,Tua Tagovailoa pass complete short middle to Jaylen Waddle for 16 yards (tackle by Cody Barton),2.870,6.280
2,0:55,1,4,WAS 4,24,7,Raheem Mostert left tackle for 3 yards (tackle by Cody Barton and Jamin Davis),6.280,5.910
2,0:24,,,,,,Timeout #2 by Miami Dolphins,,
2,0:24,2,1,WAS 1,30,7,"Raheem Mostert left end for 1 yard, touchdown",5.910,7.000
2,0:20,,,WAS 15,31,7,Jason Sanders kicks extra point good,0.000,0.000
2,0:20,,,MIA 35,31,7,"Jason Sanders kicks off 65 yards, touchback.",0.000,0.610
2,0:20,1,10,WAS 25,31,7,Sam Howell pass incomplete deep left intended for Curtis Samuel,0.610,0.060
2,0:15,2,10,WAS 25,31,7,Antonio Gibson for 3 yards (tackle by Duke Riley and Bradley Chubb),0.060,-0.230
Quarter,Time,Down,ToGo,Location,MIA,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,31,7,"Joey Slye kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,MIA 25,31,7,Raheem Mostert right end for 5 yards (tackle by K.J. Henry and Daron Payne),0.610,0.740
3,14:26,2,5,MIA 30,31,7,Raheem Mostert right end for 3 yards (tackle by Jonathan Allen and Cody Barton),0.740,0.430
3,13:56,3,2,MIA 33,31,7,Tua Tagovailoa pass complete short middle to Tyreek Hill for 5 yards (tackle by Cody Barton and Jamin Davis),0.430,1.470
3,13:12,1,10,MIA 38,31,7,Tua Tagovailoa pass complete short right to De'Von Achane for 21 yards (tackle by Kendall Fuller),1.470,2.850
3,12:27,1,10,WAS 41,31,7,De'Von Achane right guard for 3 yards (tackle by Quan Martin and Andre Jones),2.850,2.710
3,11:53,2,7,WAS 38,31,7,Tua Tagovailoa pass complete short middle to River Cracraft for 13 yards (tackle by Percy Butler and Cody Barton),2.710,3.910
