Unnamed: 0,NOR,TAM
First Downs,21,14
Rush-Yds-TDs,36-183-2,23-119-0
Cmp-Att-Yd-TD-INT,19-29-187-3-0,17-33-126-1-3
Sacked-Yards,0-0,3-26
Net Pass Yards,187,100
Total Yards,370,219
Fumbles-Lost,0-0,1-1
Turnovers,0,4
Penalties-Yards,4-55,3-18
Third Down Conv.,6-14,6-15
Fourth Down Conv.,1-2,0-1
Time of Possession,32:24,27:36
