Unnamed: 0,SDG,OAK
First Downs,24,17
Rush-Yds-TDs,33-116-1,20-114-0
Cmp-Att-Yd-TD-INT,22-35-313-3-0,18-34-282-4-1
Sacked-Yards,1-6,0-0
Net Pass Yards,307,282
Total Yards,423,396
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,7-60,11-78
Third Down Conv.,8-14,8-13
Fourth Down Conv.,0-1,0-0
Time of Possession,37:02,22:58
